POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
0,13.319723,52.486668,7278,0.59
1,13.3224945,52.489025,359716,0.946
2,13.321604,52.45755,261267,0.069
3,13.469268,52.531742,485290,0.991
4,13.471083,52.53034,387676,0.001
5,13.465439,52.524586,112330,0.32
6,13.387941,52.524555,33561,0.106
7,13.320239,52.485992,980,0.881
8,13.398626,52.523743,138027,0.489
9,13.393502,52.51341,13310,0.802
10,13.384282,52.532986,33299,0.531
11,13.388798,52.51105,458192,0.808
12,13.390019,52.511356,458189,0.923
13,13.415808,52.52325,258691,0.436
14,13.410027,52.521652,232895,0.584
15,13.406957,52.518024,461268,0.107
16,13.408757,52.511738,435400,0.458
17,13.411781,52.541523,315395,0.711
18,13.411746,52.541283,500168,1
19,13.435431,52.500202,228239,0.59
20,13.382268,52.53147,451826,0.753
21,13.538398,52.527714,144693,0.49
22,13.441189,52.54222,386655,0.58
23,13.4336405,52.53629,23076,0.217
24,13.414472,52.520817,446095,0.522
25,13.401963,52.523476,378799,1
26,13.392861,52.54275,142664,0.931
27,13.563021,52.54196,34564,0.557
28,13.524938,52.481823,327284,0.629
29,13.520978,52.46099,243476,0.242
30,13.521331,52.497364,235351,0.923
31,13.326668,52.56416,491802,0.21
32,13.328989,52.563725,127543,0.571
33,13.451453,52.51091,311687,0.738
34,13.453405,52.512184,251056,0.811
35,13.467757,52.50728,278016,0.779
36,13.463177,52.47002,148007,0.534
37,13.201525,52.547897,25219,0.787
38,13.200949,52.548775,207387,0.145
39,13.571449,52.41271,372763,0.696
40,13.333194,52.50615,502830,0.156
41,13.586285,52.511425,81672,0.272
42,13.61195,52.51232,479294,0.444
43,13.613563,52.508747,366514,0.942
44,13.422316,52.53526,88508,0.89
45,13.240736,52.6181,385985,0.651
46,13.414341,52.550846,325245,0.94
47,13.414251,52.507736,160267,0.027
48,13.535537,52.433193,271078,0.134
49,13.566753,52.570587,54324,0.29
50,13.719874,52.438885,38273,0.892
51,13.2030735,52.536892,30696,0.401
52,13.204842,52.536736,103879,0.295
53,13.205339,52.536686,30705,0.233
54,13.204479,52.537903,75214,0.111
55,13.341955,52.501102,453099,0.803
56,13.196231,52.52914,88468,0.023
57,13.197635,52.52118,12829,0.664
58,13.391355,52.516792,443169,0.33
59,13.3209,52.457397,136028,0.552
60,13.432106,52.467167,361080,0.58
61,13.495239,52.635105,247121,0.755
62,13.201891,52.538326,64321,0.407
63,13.385529,52.48549,468564,0.258
64,13.358343,52.54653,9277,0.381
65,13.385539,52.527737,287580,0.139
66,13.356884,52.547974,179667,0.213
67,13.346228,52.436283,133922,0.653
68,13.351257,52.439743,133929,0.764
69,13.456184,52.51036,342975,0.646
70,13.458232,52.513004,276553,0.774
71,13.457489,52.51601,99504,0.469
72,13.520235,52.49748,235329,0.617
73,13.467775,52.514656,422472,0.701
74,13.467238,52.514233,422475,0.716
75,13.601296,52.482754,292869,0.137
76,13.525761,52.48184,9451,0.551
77,13.28539,52.584297,189587,0.077
78,13.284083,52.589443,246446,0.131
79,13.332671,52.595654,192934,0.382
80,13.347603,52.55321,156816,0.819
81,13.388124,52.51948,502080,0.338
82,13.451319,52.508656,199378,0.043
83,13.46202,52.49844,352783,0.656
84,13.332138,52.506588,486649,0.756
85,13.444604,52.564476,188519,0.04
86,13.199282,52.53526,457467,1
87,13.624931,52.455177,303285,0.241
88,13.292195,52.497623,149136,0.235
89,13.283559,52.589344,170906,0.072
90,13.452176,52.537262,498593,0.191
