POIId,Longitude,Latitude,EdgeId,Distance_from_start_node,Type
,13.396096,52.538857,20481,0.582,
,13.387728,52.493557,502782,0.45,
,13.333867,52.524307,9847,0.705,
,13.356342,52.54768,9271,0.68,
,13.334824,52.55102,233632,0.864,
,13.296152,52.499363,7111,0.393,
,13.388738,52.5194,502077,0.383,
,13.379787,52.516727,79180,0.791,
,13.373732,52.50793,395264,0.325,
,13.37643,52.510586,501615,0.538,
,13.398848,52.523468,13193,0.777,
,13.270851,52.508907,459495,0.975,
,13.377005,52.50827,380739,0.705,
,13.383028,52.530865,502245,0.136,
,13.389925,52.515812,79251,0.471,
,13.383145,52.530758,502245,0.722,
,13.390018,52.511074,502618,0.238,
,13.389471,52.511356,458192,0.128,
,13.411459,52.519974,355995,0.18,
,13.410351,52.51953,81836,0.451,
,13.407813,52.52193,87491,0.978,
,13.41272,52.522655,446084,0.364,
,13.53153,52.50991,176772,0.555,
,13.530639,52.429688,293284,0.437,
,13.412062,52.540592,308539,0.294,
,13.544121,52.525692,339673,0.422,
,13.421581,52.53921,361714,0.874,
,13.412505,52.540867,500152,0.123,
,13.4141,52.54064,296941,0.505,
,13.420499,52.538223,86162,0.259,
,13.415622,52.543877,320416,0.911,
,13.354067,52.488007,309402,0.486,
,13.331523,52.50285,453104,0.809,
,13.477318,52.48745,133743,0.356,
,13.371143,52.46955,75334,0.306,
,13.509137,52.45623,172962,0.342,
,13.463515,52.51461,422481,0.281,
,13.509131,52.45656,498165,0.243,
,13.4626875,52.515156,427699,0.402,
,13.607002,52.505447,386412,0.574,
,13.181399,52.51146,35878,0.916,
,13.184665,52.51646,407222,0.587,
,13.290938,52.595737,296314,0.539,
,13.323771,52.475304,81279,0.055,
,13.406174,52.545845,15175,0.156,
,13.416538,52.50179,224708,0.445,
,13.343937,52.51676,453876,0.379,
,13.346432,52.518616,424844,0.739,
,13.327771,52.50331,494753,0.837,
,13.348355,52.514652,380435,0.151,
,13.2172575,52.42721,483735,0.423,
,13.360948,52.4882,44363,0.244,
,13.419344,52.51466,423342,0.231,
,13.292542,52.45635,301650,0.811,
,13.443644,52.49799,335782,0.773,
,13.443181,52.497063,99436,0.919,
,13.361927,52.488266,44364,0.863,
,13.387,52.525913,457489,0.009,
,13.3655815,52.427284,128484,0.841,
,13.526315,52.492176,179459,0.466,
,13.3403015,52.470013,96413,0.955,
,13.4225855,52.433666,230567,0.857,
,13.407996,52.43255,372162,0.282,
,13.385149,52.48039,344693,0.556,
,13.467833,52.468624,241097,0.722,
,13.466395,52.505405,339462,0.69,
,13.466686,52.50568,339463,0.082,
,13.382575,52.491707,86533,0.933,
,13.393508,52.489014,11101,0.745,
,13.461449,52.512268,160283,0.116,
,13.461317,52.512047,160283,0.227,
,13.35709,52.42805,98813,0.481,
,13.444871,52.474007,85143,0.375,
,13.388135,52.526447,379833,0.714,
,13.503571,52.56581,61428,0.346,
,13.357248,52.425457,406876,1,
,13.556704,52.546837,366576,0,
,13.367515,52.491047,416853,0.721,
,13.457186,52.509777,278297,0.798,
,13.456938,52.51094,65259,0.16,
,13.458253,52.512802,160285,0.726,
,13.457108,52.51601,99504,0.893,
,13.462045,52.51681,271229,0.488,
,13.463162,52.51659,271230,0.177,
,13.4652605,52.516224,271232,0.123,
,13.465906,52.518337,17284,0.066,
,13.472154,52.515556,17311,0.736,
,13.473798,52.514874,240528,0.414,
,13.473956,52.51482,240528,0.597,
,13.373402,52.557323,13141,0.802,
,13.458563,52.51133,251052,0.139,
,13.46021,52.5125,160284,0.392,
,13.459133,52.512432,160285,0.135,
,13.203467,52.537537,28527,0.787,
,13.201996,52.537083,64327,0.562,
,13.191101,52.433964,107872,0.625,
,13.458037,52.529465,418731,0.184,
,13.409008,52.52866,424500,0.899,
,13.601558,52.482006,57286,0.107,
,13.434984,52.426903,151837,0.928,
,13.434982,52.426968,464039,0.907,
,13.3213625,52.50744,320925,0.007,
,13.438272,52.542686,14188,0.839,
,13.322974,52.49786,4248,0.152,
,13.3228245,52.49794,4247,0.623,
,13.335305,52.595314,230271,1,
,13.6251955,52.416946,456084,0.595,
,13.435761,52.532345,320881,0.003,
,13.446284,52.524544,132567,0.218,
,13.4151125,52.493107,113465,0.208,
,13.385286,52.484467,304834,0,
,13.573538,52.41152,305137,0.154,
,13.130758,52.444546,119729,0.026,
,13.363584,52.560547,120462,0.524,
,13.370257,52.40885,120398,0.397,
,13.398318,52.51526,13290,0.102,
,13.398526,52.519115,269552,0.244,
,13.377059,52.5173,311396,0.757,
,13.40966,52.521378,231841,0.121,
,13.404072,52.551186,37010,0.156,
,13.408062,52.551666,142871,0.905,
,13.416979,52.54978,296621,0.366,
,13.3817005,52.410446,124211,0.331,
,13.418279,52.49232,113467,0.634,
,13.418132,52.492355,113467,0.537,
,13.418033,52.493103,114034,0.124,
,13.419015,52.4938,28230,0.467,
,13.419301,52.49373,28230,0.047,
,13.4204,52.49316,28226,0.1,
,13.339947,52.48834,483331,0.688,
,13.348106,52.481335,472456,0.402,
,13.3554125,52.485462,265308,0.417,
,13.311965,52.500153,178323,0.157,
,13.464058,52.52879,342127,0.584,
,13.355162,52.48667,499030,0.831,
,13.368306,52.545,11614,0.199,
,13.337072,52.504856,304624,0.828,
,13.452738,52.524734,36389,0.482,
,13.398688,52.53511,95061,0.47,
,13.402935,52.536816,12615,0.461,
,13.400703,52.537376,12619,0.203,
,13.359303,52.546036,284235,1,
,13.359133,52.54613,171314,0.714,
,13.284778,52.58884,173641,0.888,
,13.404023,52.537373,12623,0.339,
,13.358105,52.547287,179666,0.082,
,13.358816,52.54589,457006,0.265,
,13.357559,52.545692,10245,0.648,
,13.359124,52.546646,60519,0.444,
,13.359206,52.546646,60523,0.226,
,13.359753,52.54655,31566,0.47,
,13.440014,52.515926,404940,0,
,13.531987,52.431004,206536,0.809,
,13.53585,52.43233,293341,0.48,
,13.535167,52.43257,293347,0.961,
,13.449707,52.522293,14528,0.792,
,13.411955,52.521156,396054,0.485,
,13.411891,52.5212,396054,0.199,
,13.411638,52.521053,396059,0.103,
,13.414679,52.540207,126784,0.88,
,13.413335,52.549862,138918,0.552,
,13.456685,52.529423,283095,0.241,
,13.404251,52.53333,424717,0.777,
,13.307115,52.456203,476460,0.923,
,13.363077,52.413395,301975,0.806,
,13.3629265,52.41325,301975,0.282,
,13.363518,52.414143,53335,0.622,
,13.364285,52.41435,137096,0.728,
,13.423898,52.51757,65999,0.725,
,13.401809,52.529526,462007,0.189,
,13.382214,52.522106,9789,0.278,
,13.384282,52.520615,352313,0.314,
,13.383755,52.523094,140894,0.901,
,13.388015,52.526012,428663,0.344,
,13.389291,52.519756,170075,0.41,
,13.384504,52.52236,140894,0.031,
,13.276002,52.448284,339292,0.559,
,13.392743,52.56448,331609,0.062,
,13.400885,52.53319,58777,0.868,
,13.402242,52.53122,49831,0.089,
,13.394412,52.528446,136311,0.308,
,13.392664,52.527496,310521,0.899,
,13.563407,52.542343,492187,0.089,
,13.4057255,52.534927,467942,0.339,
,13.330936,52.504128,470535,1,
,13.325348,52.46709,8521,0.792,
,13.570625,52.54121,474644,0.252,
,13.401878,52.53317,58779,0.369,
,13.323442,52.42903,421592,0.602,
,13.232714,52.438316,243907,0.509,
,13.563141,52.541782,34409,0.529,
,13.418855,52.500927,82253,0.537,
,13.436245,52.500668,351684,0.513,
,13.368744,52.492928,91924,0.16,
,13.367236,52.49307,96273,0.095,
,13.280223,52.588802,39962,0.433,
,13.14248,52.524883,267085,0.838,
,13.433635,52.495766,6991,0.465,
,13.528786,52.454277,261093,0.651,
,13.526982,52.48573,18606,0.779,
,13.35153,52.550312,457791,0.516,
,13.354343,52.618176,402307,0.546,
,13.271343,52.510303,3001,0.349,
,13.307839,52.50901,80077,0.748,
,13.305513,52.50801,6612,0.877,
