POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
0,13.486602,52.54074,36518,0.173
1,13.469653,52.531834,485290,0.467
2,13.468668,52.527447,419313,0.512
3,13.450573,52.489384,17603,0.925
4,13.395946,52.51051,242811,1
5,13.390049,52.51066,502538,0.288
6,13.326585,52.479763,419476,0.998
7,13.319127,52.481544,4530,0.289
8,13.32511,52.48634,476077,0.481
9,13.331407,52.486553,499160,1
10,13.44245,52.54318,174323,1
11,13.394793,52.507103,2219,0.148
12,13.408837,52.524055,52166,0.051
13,13.328774,52.563305,220735,0.565
14,13.317035,52.56689,438403,0.437
15,13.321394,52.57013,44348,0.888
16,13.320683,52.485107,8937,0.176
17,13.328984,52.48154,4546,0.93
18,13.27162,52.51049,85793,0.296
19,13.384125,52.530697,310536,0.28
20,13.386885,52.51177,193077,0.875
21,13.409656,52.52184,13825,0.433
22,13.411116,52.519833,81836,0.959
23,13.405577,52.51355,424561,0.462
24,13.327994,52.56454,404080,0.737
25,13.542598,52.52687,175725,0.543
26,13.542194,52.527607,141038,0.286
27,13.555812,52.520466,260215,0.136
28,13.326735,52.49101,39841,0.114
29,13.350122,52.526463,325314,0.843
30,13.357116,52.525,44141,0.859
31,13.349826,52.54973,386708,0.938
32,13.321815,52.506893,320925,0.955
33,13.440147,52.481888,162336,0.715
34,13.439578,52.480343,231101,0.17
35,13.297293,52.506958,434946,0.884
36,13.413234,52.549152,391799,0.15
37,13.407887,52.55089,37012,0.945
38,13.572615,52.41229,372761,0.065
39,13.456649,52.490593,259317,0.511
40,13.480005,52.52416,112025,0.835
41,13.5829,52.51768,438053,0.748
42,13.612217,52.511154,34920,0.878
43,13.613827,52.509274,142631,0.436
44,13.592044,52.507137,367778,0.628
45,13.427095,52.53604,13945,0.241
46,13.187917,52.537285,145275,0.21
47,13.307109,52.49856,4738,0.955
48,13.445178,52.47895,313875,0.065
49,13.231502,52.612812,343826,0.896
50,13.234829,52.607567,257244,0.353
51,13.398681,52.50013,13589,0.165
52,13.413493,52.493538,188772,0.971
53,13.414104,52.50758,495396,0.613
54,13.219621,52.432262,63476,0.193
55,13.216597,52.42714,483741,0.081
56,13.709879,52.432762,66761,0.412
57,13.373597,52.543987,347097,0.681
58,13.198172,52.532093,215325,0.757
59,13.201894,52.536003,72813,0.291
60,13.205186,52.536583,30704,0.93
61,13.206024,52.537685,75215,0.859
62,13.203666,52.537663,28527,0.914
63,13.205959,52.542908,165713,0.739
64,13.196063,52.52868,90056,0.157
65,13.1970215,52.521164,12828,0.811
66,13.1948185,52.520893,12826,0.397
67,13.197141,52.52547,160574,0.134
68,13.442195,52.467865,503846,0.688
69,13.393962,52.48894,237899,0.486
70,13.195667,52.53565,435466,0.545
71,13.198061,52.521797,12939,0.073
72,13.612001,52.513382,387389,0.577
73,13.386758,52.52361,502099,0.927
74,13.488692,52.46717,285620,0.027
75,13.183378,52.51283,35906,0.442
76,13.342621,52.556038,171003,0.825
77,13.346408,52.43641,269248,0.185
78,13.468719,52.517372,229953,0.9
79,13.46528,52.514454,422506,0.822
80,13.464876,52.514477,422506,0.221
81,13.526292,52.482494,289762,0.861
82,13.209446,52.546753,207502,0.514
83,13.430354,52.495388,329132,0.357
84,13.427852,52.493343,183,0.057
85,13.572458,52.567825,451154,0.984
86,13.444553,52.564354,100079,0.525
87,13.399755,52.416317,139909,0.157
88,13.187124,52.54739,150005,0.704
89,13.32092,52.456425,444472,0.588
90,13.335151,52.595356,230271,0.936
91,13.4969635,52.49969,381911,0
