POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
0,13.352146,52.539845,9221,0.235
1,13.345226,52.548504,10295,0.425
2,13.31013,52.56981,254185,0.136
3,13.328849,52.56382,127543,0.834
4,13.313359,52.571217,121397,0.382
5,13.39123,52.51293,11151,0.915
6,13.302578,52.58407,123107,0.332
7,13.320928,52.56556,323379,0.641
8,13.313863,52.569958,8737,0.996
9,13.315821,52.570877,121393,0.217
10,13.317009,52.56883,8726,0.006
11,13.322115,52.570038,44345,0.502
12,13.142139,52.534294,121171,0.183
13,13.367808,52.568264,15518,0.958
14,13.368841,52.568466,15519,0.62
15,13.330307,52.57543,373901,0.255
16,13.41298,52.544205,213470,0
17,13.356687,52.543163,457083,0.635
18,13.32651,52.564278,323393,0.325
19,13.300729,52.523598,258959,0.606
20,13.321523,52.56969,263082,0.907
21,13.333049,52.596558,319854,0.337
22,13.304809,52.57264,30149,0.748
23,13.364491,52.56408,465489,0.636
24,13.395638,52.529526,467961,0.658
25,13.420087,52.53559,331527,0.721
26,13.263402,52.48799,464357,0.264
27,13.420132,52.512974,205196,0.368
28,13.416276,52.533443,343290,0.89
29,13.425073,52.536366,13970,0.48
30,13.476976,52.523197,17761,0.248
31,13.447688,52.47122,479313,0.866
32,13.215591,52.428642,87440,0.247
33,13.36169,52.555016,267692,0.227
34,13.577955,52.459423,284005,0.61
35,13.342372,52.461628,10939,0.539
36,13.339716,52.461475,10934,0.269
37,13.435505,52.468983,134584,0.2
38,13.466394,52.505848,278291,0.649
39,13.46173,52.512184,8249,0.864
40,13.45668,52.510235,342975,0.543
41,13.4568205,52.510685,65259,0.117
42,13.459623,52.51434,276552,0.622
43,13.459213,52.5158,99503,0.468
44,13.455179,52.518272,17276,0.282
45,13.465696,52.517998,115271,0.95
46,13.462713,52.519684,319987,0.484
47,13.460353,52.510094,65261,0.842
48,13.459252,52.512634,160285,0.083
49,13.317188,52.505924,434395,0.13
50,13.202269,52.537212,22315,0.474
51,13.203138,52.537846,28527,0.438
52,13.456358,52.548523,23307,0.949
53,13.4217005,52.49272,124151,0.926
54,13.460278,52.50023,352778,0.223
55,13.458748,52.512695,160285,0.405
56,13.323485,52.506527,309364,0.161
57,13.328402,52.505856,248991,1
58,13.43806,52.469276,134588,0.448
59,13.42617,52.49022,17674,0.916
60,13.426119,52.490513,234443,0.353
61,13.466141,52.51366,293,0.46
62,13.466681,52.513657,345605,0.487
63,13.3331995,52.57804,224460,0
64,13.281693,52.52875,122085,0.214
65,13.317848,52.51792,324980,0.152
66,13.488694,52.547653,332273,0.728
67,13.451978,52.52519,263195,0.852
68,13.423851,52.478218,220259,0.504
69,13.404365,52.551167,37010,0.309
70,13.344385,52.520206,1131,0.886
71,13.40182,52.525112,219794,0.517
72,13.408189,52.529224,340074,0.42
73,13.400091,52.494595,463191,0.205
74,13.368691,52.544468,11606,0.352
75,13.2879505,52.588974,170916,0.133
76,13.419729,52.491642,113468,0.728
77,13.332328,52.52407,9848,0.779
78,13.480159,52.527485,328181,0.75
79,13.451835,52.526016,36387,0.235
80,13.452911,52.52193,24224,0.56
81,13.416465,52.549385,169130,0.68
82,13.404733,52.534462,12582,0.399
83,13.456783,52.529022,126848,0.357
84,13.398569,52.526398,13178,0.824
85,13.448839,52.52883,36359,0.882
86,13.447457,52.52549,504136,0
87,13.423431,52.519505,467899,1
88,13.36371,52.4143,53333,0.31
89,13.404971,52.535927,12604,0.511
90,13.402655,52.53363,58780,0.058
91,13.4611,52.508602,278300,0.849
92,13.38609,52.521587,326131,0.848
93,13.383887,52.52232,9788,0.418
94,13.387738,52.52541,457505,0.443
95,13.421262,52.47686,313728,0.058
96,13.403578,52.533848,311443,0.127
97,13.399981,52.53298,58777,0.153
98,13.406135,52.532536,424714,0.112
99,13.407214,52.533062,155983,0.087
100,13.385681,52.52136,326132,0.415
101,13.459527,52.514275,276552,0.738
102,13.46075,52.513756,77708,0.78
103,13.464485,52.49767,190110,0.693
104,13.459239,52.500908,74366,0.885
105,13.203454,52.542263,25209,0.251
106,13.5257845,52.481655,501128,0.131
107,13.294731,52.442944,289976,0.86
108,13.564942,52.54172,33024,0.616
109,13.478878,52.540134,142116,0.505
110,13.324036,52.480038,4558,0.91
111,13.348314,52.4821,329968,0.932
112,13.420145,52.545837,131833,0.599
113,13.42333,52.4788,222200,0.907
114,13.570299,52.550056,462336,0.818
115,13.430384,52.468517,140357,0.955
116,13.309278,52.507988,80079,0.931
117,13.513472,52.4623,235595,0.856
118,13.453812,52.503895,17375,0.437
119,13.500528,52.50935,101633,0.211
120,13.281694,52.589535,24947,0.079
121,13.315508,52.503044,4177,0.077
122,13.38812,52.517918,260828,0.28
123,13.356317,52.497955,115564,0.072
124,13.55849,52.54655,71985,0.542
125,13.445454,52.499073,359484,0.923
126,13.467041,52.505306,278293,0.387
127,13.466958,52.505444,339463,0.111
128,13.457009,52.511127,342974,0.562
129,13.407258,52.530838,340075,0.573
130,13.271436,52.53504,139585,0.348
131,13.578051,52.497597,391670,0.893
132,13.433423,52.492577,138870,0.93
133,13.43778,52.493557,171737,0.17
134,13.434839,52.491196,386974,0.421
135,13.429699,52.49794,234124,0.123
136,13.428755,52.498302,288917,0.615
137,13.431571,52.49731,131708,0.725
138,13.415978,52.542496,320504,0.227
139,13.357639,52.54575,10245,0.57
140,13.58878,52.512268,193323,0.507
141,13.567472,52.550755,37321,0.658
142,13.4219,52.54159,320401,0.601
143,13.421476,52.54165,320401,0.88
144,13.423921,52.54213,35061,0.787
145,13.424483,52.543587,256959,0.245
146,13.41818,52.54669,225615,0.935
147,13.41735,52.543713,320508,0.576
148,13.353634,52.48937,309417,0.668
149,13.361793,52.488224,44364,0.687
150,13.280967,52.58931,39961,0.486
151,13.497876,52.51208,354945,0.71
152,13.308693,52.500446,310843,0.239
153,13.465058,52.516693,17289,0.746
154,13.45953,52.511448,251050,0.241
155,13.3105135,52.50187,6697,0.827
156,13.464187,52.516644,271231,0.277
157,13.464115,52.512814,276617,0.12
158,13.471345,52.51045,43408,0.542
159,13.408603,52.528763,424500,0.514
160,13.304884,52.502136,275604,0.772
161,13.302333,52.521194,85392,0.524
162,13.314019,52.518307,9672,0.412
163,13.489143,52.502983,332570,0.1
164,13.45984,52.510162,65261,0.45
165,13.407364,52.522522,377646,1
166,13.4047575,52.52059,206193,0.912
167,13.407673,52.521797,87492,0.09
168,13.318287,52.528744,169247,0.53
169,13.424988,52.501945,209648,0.202
170,13.454638,52.47298,35687,0.105
171,13.202575,52.538525,74524,0.672
172,13.424911,52.480145,99754,0.142
173,13.424938,52.480446,128326,0.706
174,13.443359,52.47567,313919,0.972
175,13.449837,52.47663,197384,0.11
176,13.443436,52.47048,313319,0.249
177,13.383461,52.456474,352391,1
178,13.383724,52.455425,474372,0.151
179,13.384802,52.4494,305014,0.828
180,13.385645,52.44495,129759,0.358
181,13.437303,52.463615,313368,0.952
182,13.436338,52.46623,313416,0.819
183,13.4403105,52.467304,131671,0.955
184,13.431755,52.466255,100013,0.49
185,13.442136,52.46591,313568,0.06
186,13.442415,52.465164,27423,0.895
187,13.204274,52.535934,99752,0.726
188,13.429755,52.55249,135554,0.289
189,13.4378805,52.455265,31293,0.182
190,13.437596,52.45583,31273,0.298
191,13.438295,52.452755,483984,0.942
192,13.394391,52.46568,304173,0.644
193,13.393833,52.48598,317471,0.173
194,13.434931,52.461967,53396,0.097
195,13.438116,52.466602,313410,0.038
196,13.434132,52.46396,27419,0.45
197,13.420014,52.465183,343755,0.596
198,13.433528,52.46528,454840,0.195
199,13.1927185,52.52399,12912,0.231
200,13.451129,52.487064,313651,0.108
201,13.451424,52.492325,284004,0.414
202,13.441008,52.47179,321802,0.359
203,13.441312,52.47287,362778,0.476
204,13.419334,52.496582,83977,0.747
205,13.407929,52.499733,13678,0.88
206,13.392939,52.545174,12142,0.133
207,13.510024,52.55092,32524,0.652
208,13.457219,52.44232,140127,0.937
209,13.46897,52.518517,131743,0.929
210,13.412637,52.56129,343882,0.359
211,13.432499,52.486942,279757,0.88
212,13.439611,52.484146,313609,0.937
213,13.479925,52.461025,252941,0.545
214,13.451078,52.471607,486050,0
215,13.506701,52.446285,95479,0.63
216,13.447001,52.474968,85156,0.652
217,13.42491,52.47484,313583,0.927
218,13.437431,52.482754,260252,0.242
219,13.395268,52.582634,170875,0.968
220,13.333578,52.560616,383853,0
221,13.336242,52.559124,376,0.211
222,13.34222,52.555683,386,0.105
223,13.390938,52.499626,5824,1
224,13.450885,52.47397,197158,1
225,13.45215,52.47442,330606,0.063
226,13.440645,52.47391,413684,0.282
227,13.46433,52.528744,342128,0.068
228,13.423113,52.465496,100007,0.255
229,13.423522,52.465336,100007,0.348
230,13.431329,52.46793,160112,0.507
231,13.4422655,52.467625,503823,0.823
232,13.472738,52.51226,166122,0.083
233,13.604072,52.538063,172326,0.564
234,13.589199,52.53949,111188,0.119
235,13.479912,52.502846,173583,0.388
236,13.480651,52.503235,465013,0.753
237,13.429517,52.470165,279764,0.866
