Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
26204 [6, 0, 2, 0, 5] 5 [1, 3]|PNE route: [POIs: (4424, 29042, gas_station, 3.13736526221998), (816, 28489, restaurant, 0.5436757736739979), (2147, 28350, atm_bank, 0.04029163299214192), (1147, 28517, restaurant, 0.10693853693984981), (3911, 26712, pub_bar, 0.8527624487286826), Length: 4.6810336545546525, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4424, 29042, gas_station, 3.13736526221998), (816, 28489, restaurant, 0.5436757736739979), (2147, 28350, atm_bank, 0.04029163299214192), (816, 28489, restaurant, 0.04029163299214192), (3911, 26712, pub_bar, 0.9999926186606743), Length: 4.761616920538937, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 57330 ms|Time for PNE: 428 ms|Time for KNN: 141 ms|Time for Dijkstra: 56619 ms|Heap fetches: 107|Max heap size: 36
69340 [2, 3, 2, 4, 6] 5 [0, 2]|PNE route: [POIs: (2462, 13695, atm_bank, 2.377647401702955), (2775, 12609, movie_theater, 0.19989846471829795), (2475, 12609, atm_bank, 0.0), (3225, 13712, pharmacy, 0.09846157175479556), (4443, 12115, gas_station, 1.5414823319200097), Length: 4.217489770096058, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2475, 12609, atm_bank, 2.577545866421253), (2775, 12609, movie_theater, 0.0), (2475, 12609, atm_bank, 0.0), (3225, 13712, pharmacy, 0.09846157175479556), (4443, 12115, gas_station, 1.5414823319200097), Length: 4.2174897700960585, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 40586 ms|Time for PNE: 2328 ms|Time for KNN: 523 ms|Time for Dijkstra: 37652 ms|Heap fetches: 178|Max heap size: 55
171759 [4, 5, 2, 4, 6] 5 [0, 3]|PNE route: [POIs: (3372, 167527, pharmacy, 1.4013790760647447), (4310, 167537, pub_bar, 0.02609891225237456), (2535, 167840, atm_bank, 0.2032607187802085), (3372, 167527, pharmacy, 0.22935963103258306), (4437, 167249, gas_station, 0.907780896464813), Length: 2.7678792345947234, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3372, 167527, pharmacy, 1.4013790760647447), (4310, 167537, pub_bar, 0.02609891225237456), (2535, 167840, atm_bank, 0.2032607187802085), (3372, 167527, pharmacy, 0.22935963103258306), (4437, 167249, gas_station, 0.907780896464813), Length: 2.7678792345947234, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3919 ms|Time for PNE: 3837 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
350754 [3, 3, 2, 1, 3] 5 [1, 4]|PNE route: [POIs: (2695, 310697, movie_theater, 1.3796642469976355), (2695, 310697, movie_theater, 0.0), (2331, 309716, atm_bank, 0.8386073609189074), (37, 309860, coffee_shop, 0.1056145951607611), (2741, 310716, movie_theater, 0.9094667940253298), Length: 3.2333529971026342, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2695, 310697, movie_theater, 1.3796642469976355), (2695, 310697, movie_theater, 0.0), (2331, 309716, atm_bank, 0.8386073609189074), (37, 309860, coffee_shop, 0.1056145951607611), (2695, 310697, movie_theater, 0.9150519799724146), Length: 3.2389381830497186, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 73121 ms|Time for PNE: 132 ms|Time for KNN: 185 ms|Time for Dijkstra: 72723 ms|Heap fetches: 84|Max heap size: 34
152267 [6, 4, 6, 4, 2] 5 [0, 2]|PNE route: [POIs: (4442, 126176, gas_station, 1.6910908771814284), (2932, 126659, pharmacy, 0.11507727260106437), (4442, 126176, gas_station, 0.11507727260106437), (3339, 126186, pharmacy, 0.2204045098153012), (2175, 122441, atm_bank, 0.2613482722156595), Length: 2.4029982044145175, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4442, 126176, gas_station, 1.6910908771814284), (2932, 126659, pharmacy, 0.11507727260106437), (4442, 126176, gas_station, 0.11507727260106437), (3339, 126186, pharmacy, 0.2204045098153012), (2175, 122441, atm_bank, 0.2613482722156595), Length: 2.4029982044145175, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 129 ms|Time for PNE: 50 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
294465 [5, 5, 5, 6, 0] 5 [0, 2]|PNE route: [POIs: (3612, 257423, pub_bar, 0.959698350583753), (3612, 257423, pub_bar, 0.0), (3612, 257423, pub_bar, 0.0), (4485, 256936, gas_station, 0.5620475056574736), (570, 256641, restaurant, 0.4307821865283882), Length: 1.9525280427696146, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3612, 257423, pub_bar, 0.959698350583753), (3612, 257423, pub_bar, 0.0), (3612, 257423, pub_bar, 0.0), (4485, 256936, gas_station, 0.5620475056574736), (570, 256641, restaurant, 0.4307821865283882), Length: 1.9525280427696146, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 186 ms|Time for PNE: 107 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
357763 [6, 2, 0, 6, 0] 5 [2, 4]|PNE route: [POIs: (4387, 367074, gas_station, 3.7857338067420745), (2239, 344078, atm_bank, 1.188753002906418), (585, 344087, restaurant, 0.07706262506899098), (4387, 367074, gas_station, 1.111690377837427), (22, 367071, restaurant, 0.04043689702712226), Length: 6.203676709582034, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4481, 310526, gas_station, 4.1298573662870295), (2331, 309716, atm_bank, 0.7461169781575918), (37, 309860, restaurant, 0.1056145951607611), (4481, 310526, gas_station, 0.6418105406471779), (37, 309860, restaurant, 0.6418105406471779), Length: 6.2652100208997386, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 137475 ms|Time for PNE: 1013 ms|Time for KNN: 1100 ms|Time for Dijkstra: 135278 ms|Heap fetches: 363|Max heap size: 334
377694 [1, 6, 1, 2, 3] 5 [0, 2]|PNE route: [POIs: (186, 379134, coffee_shop, 0.7534656176208153), (4381, 379890, gas_station, 0.7523083719208046), (182, 378056, coffee_shop, 0.6188190554698335), (2107, 377957, atm_bank, 0.03483959072346227), (2683, 375297, movie_theater, 1.6522170901349464), Length: 3.811649725869862, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (182, 378056, coffee_shop, 1.3448478491639182), (4381, 379890, gas_station, 0.6188190554698334), (182, 378056, coffee_shop, 0.6188190554698335), (2107, 377957, atm_bank, 0.03483959072346227), (2683, 375297, movie_theater, 1.6522170901349464), Length: 4.269542640961994, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 41455 ms|Time for PNE: 324 ms|Time for KNN: 374 ms|Time for Dijkstra: 40677 ms|Heap fetches: 63|Max heap size: 48
30661 [4, 3, 5, 2, 3] 5 [1, 4]|PNE route: [POIs: (3357, 19932, pharmacy, 6.569793593252738), (2771, 20112, movie_theater, 0.5259424082883798), (3511, 20000, pub_bar, 0.2906985421226551), (2173, 20023, atm_bank, 0.16904166338775736), (2771, 20112, movie_theater, 0.12165687873489771), Length: 7.677133085786428, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3357, 19932, pharmacy, 6.569793593252738), (2771, 20112, movie_theater, 0.5259424082883798), (3511, 20000, pub_bar, 0.2906985421226551), (2173, 20023, atm_bank, 0.16904166338775736), (2771, 20112, movie_theater, 0.12165687873489771), Length: 7.677133085786428, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2269 ms|Time for PNE: 2190 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
231978 [3, 3, 6, 3, 4] 5 [1, 3]|PNE route: [POIs: (2721, 241637, movie_theater, 4.078037426217152), (2721, 241637, movie_theater, 0.0), (4448, 241987, gas_station, 0.4756617289003232), (2721, 241637, movie_theater, 0.47566172890032316), (3350, 241985, pharmacy, 0.09169748863186386), Length: 5.121058372649662, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2721, 241637, movie_theater, 4.078037426217152), (2721, 241637, movie_theater, 0.0), (4448, 241987, gas_station, 0.4756617289003232), (2721, 241637, movie_theater, 0.47566172890032316), (3350, 241985, pharmacy, 0.09169748863186386), Length: 5.121058372649662, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 116 ms|Time for PNE: 37 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
