Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
197453 [0, 1, 1, 1, 6] 5 [1, 3]|PNE route: [POIs: (1234, 195711, restaurant, 2.1105850006280202), (1234, 195711, coffee_shop, 0.0), (1234, 195711, coffee_shop, 0.0), (1234, 195711, coffee_shop, 0.0), (4510, 197552, gas_station, 0.8085865179152615), Length: 2.9191715185432816, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1234, 195711, restaurant, 2.1105850006280202), (1234, 195711, coffee_shop, 0.0), (1234, 195711, coffee_shop, 0.0), (1234, 195711, coffee_shop, 0.0), (4510, 197552, gas_station, 0.8085865179152615), Length: 2.9191715185432816, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 607 ms|Time for PNE: 509 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
343210 [4, 4, 6, 4, 3] 5 [1, 3]|PNE route: [POIs: (3111, 339827, pharmacy, 0.6705645939599014), (3111, 339827, pharmacy, 0.0), (4433, 339757, gas_station, 0.5784382573831091), (3144, 338496, pharmacy, 1.5842732710487637), (2702, 337770, movie_theater, 0.42372841617489854), Length: 3.257004538566673, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3111, 339827, pharmacy, 0.6705645939599014), (3111, 339827, pharmacy, 0.0), (4433, 339757, gas_station, 0.5784382573831091), (3111, 339827, pharmacy, 0.5784382573831091), (2702, 337770, movie_theater, 1.5135896979051546), Length: 3.341030806631274, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 27560 ms|Time for PNE: 1165 ms|Time for KNN: 435 ms|Time for Dijkstra: 25742 ms|Heap fetches: 143|Max heap size: 16
315483 [4, 2, 4, 6, 1] 5 [0, 2]|PNE route: [POIs: (3301, 309687, pharmacy, 3.1332069889262013), (2331, 309716, atm_bank, 0.024863788706209845), (3105, 309860, pharmacy, 0.1056145951607611), (4481, 310526, gas_station, 0.6418105406471779), (37, 309860, coffee_shop, 0.6418105406471779), Length: 4.547306454087528, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3301, 309687, pharmacy, 3.1332069889262013), (2331, 309716, atm_bank, 0.024863788706209845), (3301, 309687, pharmacy, 0.024863788706209845), (4481, 310526, gas_station, 0.7418107907565474), (37, 309860, coffee_shop, 0.6418105406471779), Length: 4.566555897742346, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 36426 ms|Time for PNE: 1543 ms|Time for KNN: 223 ms|Time for Dijkstra: 34453 ms|Heap fetches: 78|Max heap size: 19
24409 [3, 3, 3, 6, 1] 5 [0, 2]|PNE route: [POIs: (2722, 255396, movie_theater, 7.782661235282143), (2722, 255396, movie_theater, 0.0), (2722, 255396, movie_theater, 0.0), (4515, 252558, gas_station, 1.1787468220398007), (617, 252644, coffee_shop, 0.4226298574296198), Length: 9.384037914751563, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2722, 255396, movie_theater, 7.782661235282143), (2722, 255396, movie_theater, 0.0), (2722, 255396, movie_theater, 0.0), (4515, 252558, gas_station, 1.1787468220398007), (617, 252644, coffee_shop, 0.4226298574296198), Length: 9.384037914751563, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1105 ms|Time for PNE: 1017 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
283513 [2, 4, 6, 4, 2] 5 [1, 3]|PNE route: [POIs: (2275, 283883, atm_bank, 3.3257380394751035), (2854, 272358, pharmacy, 7.154063329535533), (4441, 272791, gas_station, 0.3332147365858877), (2854, 272358, pharmacy, 0.3332147365858877), (2119, 272527, atm_bank, 0.18571236428869858), Length: 11.331943206471111, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2275, 283883, atm_bank, 3.3257380394751035), (2854, 272358, pharmacy, 7.154063329535533), (4441, 272791, gas_station, 0.3332147365858877), (2854, 272358, pharmacy, 0.3332147365858877), (2119, 272527, atm_bank, 0.18571236428869858), Length: 11.331943206471111, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 278 ms|Time for PNE: 107 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
401568 [5, 2, 5, 4, 1] 5 [0, 2]|PNE route: [POIs: (3456, 335308, pub_bar, 1.6867396478895733), (2351, 335386, atm_bank, 0.17561314753842658), (3456, 335308, pub_bar, 0.1756131475384266), (3130, 335370, pharmacy, 0.11225411363881489), (1573, 395633, coffee_shop, 0.345162756257552), Length: 2.4953828128627933, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3456, 335308, pub_bar, 1.6867396478895733), (2351, 335386, atm_bank, 0.17561314753842658), (3456, 335308, pub_bar, 0.1756131475384266), (3130, 335370, pharmacy, 0.11225411363881489), (1573, 395633, coffee_shop, 0.345162756257552), Length: 2.4953828128627933, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2232 ms|Time for PNE: 1951 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
298940 [1, 3, 5, 0, 5] 5 [2, 4]|PNE route: [POIs: (409, 298932, coffee_shop, 0.15443893753694052), (2712, 299046, movie_theater, 0.4838463153786312), (4014, 299045, pub_bar, 0.10723718911330009), (1368, 299065, restaurant, 0.013876708625004761), (4014, 299045, pub_bar, 0.013876708625004761), Length: 0.7732758592788813, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (409, 298932, coffee_shop, 0.15443893753694052), (2712, 299046, movie_theater, 0.4838463153786312), (4014, 299045, pub_bar, 0.10723718911330009), (1368, 299065, restaurant, 0.013876708625004761), (4014, 299045, pub_bar, 0.013876708625004761), Length: 0.7732758592788813, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1472 ms|Time for PNE: 1041 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
46713 [5, 2, 5, 4, 0] 5 [0, 2]|PNE route: [POIs: (3603, 55453, pub_bar, 3.0298151156447233), (2522, 55460, atm_bank, 0.4516033679598668), (3603, 55453, pub_bar, 0.4516033679598668), (3072, 55463, pharmacy, 0.3790092012728491), (1237, 55452, restaurant, 0.01826355627588902), Length: 4.330294609113194, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3603, 55453, pub_bar, 3.0298151156447233), (2522, 55460, atm_bank, 0.4516033679598668), (3603, 55453, pub_bar, 0.4516033679598668), (3072, 55463, pharmacy, 0.3790092012728491), (1237, 55452, restaurant, 0.01826355627588902), Length: 4.330294609113194, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 844 ms|Time for PNE: 411 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
180957 [0, 2, 1, 2, 1] 5 [1, 3]|PNE route: [POIs: (1600, 172218, restaurant, 0.7802137894743785), (2622, 172216, atm_bank, 0.07221641101325073), (1875, 172216, coffee_shop, 0.0), (2622, 172216, atm_bank, 0.0), (1875, 172216, coffee_shop, 0.0), Length: 0.8524302004876292, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1600, 172218, restaurant, 0.7802137894743785), (2622, 172216, atm_bank, 0.07221641101325073), (1875, 172216, coffee_shop, 0.0), (2622, 172216, atm_bank, 0.0), (1875, 172216, coffee_shop, 0.0), Length: 0.8524302004876292, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3227 ms|Time for PNE: 2807 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
403035 [1, 5, 5, 5, 1] 5 [1, 3]|PNE route: [POIs: (1691, 331722, coffee_shop, 3.6246778244816924), (3704, 331722, pub_bar, 0.0), (3704, 331722, pub_bar, 0.0), (3704, 331722, pub_bar, 0.0), (1691, 331722, coffee_shop, 0.0), Length: 3.6246778244816924, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1691, 331722, coffee_shop, 3.6246778244816924), (3704, 331722, pub_bar, 0.0), (3704, 331722, pub_bar, 0.0), (3704, 331722, pub_bar, 0.0), (1691, 331722, coffee_shop, 0.0), Length: 3.6246778244816924, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 217 ms|Time for PNE: 134 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
