Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
53454 [0, 1, 5, 4, 5] 5 [2, 4]|PNE route: [POIs: (325, 55307, restaurant, 0.914426968325099), (325, 55307, coffee_shop, 0.0), (3603, 55453, pub_bar, 0.019332394639034172), (3072, 55463, pharmacy, 0.3790092012728491), (3603, 55453, pub_bar, 0.37900920127284915), Length: 1.6917777655098314, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (325, 55307, restaurant, 0.914426968325099), (325, 55307, coffee_shop, 0.0), (3603, 55453, pub_bar, 0.019332394639034172), (3072, 55463, pharmacy, 0.3790092012728491), (3603, 55453, pub_bar, 0.37900920127284915), Length: 1.6917777655098314, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 230 ms|Time for PNE: 100 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
210675 [3, 0, 5, 0, 6] 5 [1, 3]|PNE route: [POIs: (2681, 204019, movie_theater, 5.909499570822125), (413, 204019, restaurant, 0.0), (3479, 203895, pub_bar, 0.7665831437366347), (1377, 205582, restaurant, 0.1468426329162758), (4496, 205493, gas_station, 0.7755125013200129), Length: 7.598437848795049, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2681, 204019, movie_theater, 5.909499570822125), (413, 204019, restaurant, 0.0), (3479, 203895, pub_bar, 0.7665831437366347), (413, 204019, restaurant, 0.7665831437366348), (4496, 205493, gas_station, 1.4947090796461144), Length: 8.93737493794151, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 6160 ms|Time for PNE: 3413 ms|Time for KNN: 0 ms|Time for Dijkstra: 2478 ms|Heap fetches: 1|Max heap size: 1
222859 [4, 6, 5, 3, 5] 5 [2, 4]|PNE route: [POIs: (3240, 227231, pharmacy, 2.9316228971299143), (4465, 233451, gas_station, 1.3181909906185207), (4267, 233451, pub_bar, 0.0), (2753, 233915, movie_theater, 0.9847732234073109), (3687, 233899, pub_bar, 0.09585278426330793), Length: 5.330439895419055, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3240, 227231, pharmacy, 2.9316228971299143), (4465, 233451, gas_station, 1.3181909906185207), (3687, 233899, pub_bar, 1.05292940943223), (2753, 233915, movie_theater, 0.09585278426330793), (3687, 233899, pub_bar, 0.09585278426330793), Length: 5.494448865707281, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 379869 ms|Time for PNE: 20423 ms|Time for KNN: 16679 ms|Time for Dijkstra: 342608 ms|Heap fetches: 1235|Max heap size: 104
130672 [5, 1, 5, 0, 2] 5 [0, 2]|PNE route: [POIs: (4102, 130473, pub_bar, 0.7919777126670463), (1465, 130480, coffee_shop, 0.04898942272362892), (4102, 130473, pub_bar, 0.04898942272362892), (1465, 130480, restaurant, 0.04898942272362892), (2273, 131529, atm_bank, 0.3890696446587371), Length: 1.3280156254966702, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4102, 130473, pub_bar, 0.7919777126670463), (1465, 130480, coffee_shop, 0.04898942272362892), (4102, 130473, pub_bar, 0.04898942272362892), (1465, 130480, restaurant, 0.04898942272362892), (2273, 131529, atm_bank, 0.3890696446587371), Length: 1.3280156254966702, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 370 ms|Time for PNE: 240 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
110632 [5, 3, 5, 4, 6] 5 [0, 2]|PNE route: [POIs: (4320, 98915, pub_bar, 3.977164973570474), (2814, 98895, movie_theater, 0.05798277917752695), (4320, 98915, pub_bar, 0.05798277917752695), (3388, 98910, pharmacy, 0.014421176579945183), (4493, 98861, gas_station, 0.6614043386031762), Length: 4.768956047108649, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4320, 98915, pub_bar, 3.977164973570474), (2814, 98895, movie_theater, 0.05798277917752695), (4320, 98915, pub_bar, 0.05798277917752695), (3388, 98910, pharmacy, 0.014421176579945183), (4493, 98861, gas_station, 0.6614043386031762), Length: 4.768956047108649, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3381 ms|Time for PNE: 3252 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
174496 [5, 4, 2, 5, 4] 5 [0, 3]|PNE route: [POIs: (3975, 174496, pub_bar, 0.0), (3232, 174967, pharmacy, 0.7495583495004395), (2442, 174964, atm_bank, 0.12083825623238613), (3855, 174964, pub_bar, 0.0), (3232, 174967, pharmacy, 0.12083825623238613), Length: 0.9912348619652117, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3855, 174964, pub_bar, 0.8703966057328256), (3232, 174967, pharmacy, 0.12083825623238613), (2442, 174964, atm_bank, 0.12083825623238613), (3855, 174964, pub_bar, 0.0), (3232, 174967, pharmacy, 0.12083825623238613), Length: 1.232911374429984, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 82483 ms|Time for PNE: 185 ms|Time for KNN: 141 ms|Time for Dijkstra: 81875 ms|Heap fetches: 75|Max heap size: 47
283004 [1, 5, 2, 5, 4] 5 [1, 3]|PNE route: [POIs: (1231, 278035, coffee_shop, 2.8580245446190276), (4217, 278353, pub_bar, 0.3162984073649667), (2592, 278204, atm_bank, 0.40124062664204313), (4217, 278353, pub_bar, 0.4012406266420431), (3315, 278020, pharmacy, 0.3565705406101811), Length: 4.333374745878261, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1231, 278035, coffee_shop, 2.8580245446190276), (4217, 278353, pub_bar, 0.3162984073649667), (2592, 278204, atm_bank, 0.40124062664204313), (4217, 278353, pub_bar, 0.4012406266420431), (3315, 278020, pharmacy, 0.3565705406101811), Length: 4.333374745878261, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 480 ms|Time for PNE: 350 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
100749 [1, 0, 1, 2, 2] 5 [0, 2]|PNE route: [POIs: (1314, 100533, coffee_shop, 0.9334598422581983), (1314, 100533, restaurant, 0.0), (1314, 100533, coffee_shop, 0.0), (2312, 100533, atm_bank, 0.0), (2312, 100533, atm_bank, 0.0), Length: 0.9334598422581983, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1314, 100533, coffee_shop, 0.9334598422581983), (1314, 100533, restaurant, 0.0), (1314, 100533, coffee_shop, 0.0), (2312, 100533, atm_bank, 0.0), (2312, 100533, atm_bank, 0.0), Length: 0.9334598422581983, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1849 ms|Time for PNE: 1720 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
21234 [0, 6, 3, 0, 5] 5 [0, 3]|PNE route: [POIs: (618, 252719, restaurant, 4.841627634775426), (4515, 252558, gas_station, 0.34786936096371424), (2722, 255396, movie_theater, 1.1787468220398007), (603, 255424, restaurant, 0.06712209409300589), (3730, 254070, pub_bar, 1.3098927168854657), Length: 7.745258628757412, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (618, 252719, restaurant, 4.841627634775426), (4515, 252558, gas_station, 0.34786936096371424), (2722, 255396, movie_theater, 1.1787468220398007), (618, 252719, restaurant, 1.5266161830035145), (3922, 252718, pub_bar, 0.0131404080876259), Length: 7.908000408870081, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 377002 ms|Time for PNE: 8992 ms|Time for KNN: 4006 ms|Time for Dijkstra: 363733 ms|Heap fetches: 242|Max heap size: 33
269200 [0, 2, 5, 1, 5] 5 [2, 4]|PNE route: [POIs: (740, 263232, restaurant, 5.162576653330624), (2399, 263232, atm_bank, 0.0), (3785, 263232, pub_bar, 0.0), (740, 263232, coffee_shop, 0.0), (3785, 263232, pub_bar, 0.0), Length: 5.162576653330624, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (740, 263232, restaurant, 5.162576653330624), (2399, 263232, atm_bank, 0.0), (3785, 263232, pub_bar, 0.0), (740, 263232, coffee_shop, 0.0), (3785, 263232, pub_bar, 0.0), Length: 5.162576653330624, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1124 ms|Time for PNE: 995 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
