Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
300022 [4, 2, 2, 2, 0] 5 [1, 3]|PNE route: [POIs: (3018, 300087, pharmacy, 0.1350663379148695), (2283, 300016, atm_bank, 0.02460595301152583), (2283, 300016, atm_bank, 0.0), (2283, 300016, atm_bank, 0.0), (298, 300094, restaurant, 0.05012685244399006), Length: 0.20979914337038538, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3018, 300087, pharmacy, 0.1350663379148695), (2283, 300016, atm_bank, 0.02460595301152583), (2283, 300016, atm_bank, 0.0), (2283, 300016, atm_bank, 0.0), (298, 300094, restaurant, 0.05012685244399006), Length: 0.20979914337038538, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 166 ms|Time for PNE: 39 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
296406 [4, 2, 6, 4, 2] 5 [0, 3]|PNE route: [POIs: (2884, 294449, pharmacy, 1.261153319579356), (2414, 294328, atm_bank, 0.0384656972021782), (4517, 294319, gas_station, 0.30085329061406346), (2884, 294449, pharmacy, 0.279327458564651), (2414, 294328, atm_bank, 0.0384656972021782), Length: 1.918265463162427, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2884, 294449, pharmacy, 1.261153319579356), (2414, 294328, atm_bank, 0.0384656972021782), (4517, 294319, gas_station, 0.30085329061406346), (2884, 294449, pharmacy, 0.279327458564651), (2414, 294328, atm_bank, 0.0384656972021782), Length: 1.918265463162427, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 271 ms|Time for PNE: 140 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
327190 [6, 2, 2, 1, 2] 5 [2, 4]|PNE route: [POIs: (4488, 187942, gas_station, 0.5527770371609625), (2564, 327109, atm_bank, 0.4909544858974724), (2564, 327109, atm_bank, 0.0), (1258, 327109, coffee_shop, 0.0), (2564, 327109, atm_bank, 0.0), Length: 1.043731523058435, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4488, 187942, gas_station, 0.5527770371609625), (2564, 327109, atm_bank, 0.4909544858974724), (2564, 327109, atm_bank, 0.0), (1258, 327109, coffee_shop, 0.0), (2564, 327109, atm_bank, 0.0), Length: 1.043731523058435, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 147 ms|Time for PNE: 19 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
111518 [4, 2, 4, 2, 0] 5 [0, 2]|PNE route: [POIs: (3008, 108734, pharmacy, 2.2391953111801812), (2307, 107723, atm_bank, 0.09732100036504934), (3008, 108734, pharmacy, 0.09732100036504934), (2307, 107723, atm_bank, 0.09732100036504934), (1620, 108735, restaurant, 0.1252984494176043), Length: 2.6564567616929335, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3008, 108734, pharmacy, 2.2391953111801812), (2307, 107723, atm_bank, 0.09732100036504934), (3008, 108734, pharmacy, 0.09732100036504934), (2307, 107723, atm_bank, 0.09732100036504934), (1620, 108735, restaurant, 0.1252984494176043), Length: 2.6564567616929335, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 215 ms|Time for PNE: 88 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
380761 [2, 5, 2, 1, 2] 5 [0, 2]|PNE route: [POIs: (2250, 380705, atm_bank, 0.7662027173413583), (3544, 381602, pub_bar, 1.0899369790742748), (2122, 384777, atm_bank, 1.7761125213699014), (1639, 384764, coffee_shop, 0.06911986123496502), (2122, 384777, atm_bank, 0.06911986123496502), Length: 3.7704919402554635, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2121, 381429, atm_bank, 1.7227800800434314), (3544, 381602, pub_bar, 0.29260777519817716), (2121, 381429, atm_bank, 0.29260777519817716), (1220, 382505, coffee_shop, 1.3109104913533458), (2454, 382136, atm_bank, 0.4945306709710859), Length: 4.113436792764217, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 49597 ms|Time for PNE: 402 ms|Time for KNN: 221 ms|Time for Dijkstra: 48697 ms|Heap fetches: 40|Max heap size: 12
188723 [2, 5, 2, 1, 0] 5 [0, 2]|PNE route: [POIs: (2328, 188695, atm_bank, 0.03376013781279062), (3429, 188483, pub_bar, 0.13717825686262464), (2124, 327804, atm_bank, 0.16361025743218327), (595, 327818, coffee_shop, 0.0318269926761366), (595, 327818, restaurant, 0.0), Length: 0.36637564478373513, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2328, 188695, atm_bank, 0.03376013781279062), (3429, 188483, pub_bar, 0.13717825686262464), (2328, 188695, atm_bank, 0.13717825686262464), (782, 188483, coffee_shop, 0.13717825686262464), (898, 188483, restaurant, 0.0), Length: 0.44529490840066455, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3665 ms|Time for PNE: 40 ms|Time for KNN: 0 ms|Time for Dijkstra: 3338 ms|Heap fetches: 1|Max heap size: 1
24709 [6, 6, 2, 3, 2] 5 [2, 4]|PNE route: [POIs: (4462, 25078, gas_station, 0.5618863830267529), (4462, 25078, gas_station, 0.0), (2393, 24254, atm_bank, 0.3168678318227413), (2771, 20112, movie_theater, 5.456849604797533), (2225, 20017, atm_bank, 0.054451608969453016), Length: 6.39005542861648, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4462, 25078, gas_station, 0.5618863830267529), (4462, 25078, gas_station, 0.0), (2225, 20017, atm_bank, 5.8281690455897275), (2771, 20112, movie_theater, 0.054451608969453016), (2225, 20017, atm_bank, 0.054451608969453016), Length: 6.498958646555387, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 375439 ms|Time for PNE: 11132 ms|Time for KNN: 12216 ms|Time for Dijkstra: 351923 ms|Heap fetches: 668|Max heap size: 113
1021 [5, 4, 2, 3, 2] 5 [2, 4]|PNE route: [POIs: (3436, 10079, pub_bar, 7.913275443784435), (3225, 13712, pharmacy, 3.3802212750141427), (2475, 12609, atm_bank, 0.09846157175479556), (2775, 12609, movie_theater, 0.0), (2475, 12609, atm_bank, 0.0), Length: 11.391958290553374, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3436, 10079, pub_bar, 7.913275443784435), (3225, 13712, pharmacy, 3.3802212750141427), (2475, 12609, atm_bank, 0.09846157175479556), (2775, 12609, movie_theater, 0.0), (2475, 12609, atm_bank, 0.0), Length: 11.391958290553374, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 699 ms|Time for PNE: 569 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
338002 [2, 0, 4, 0, 4] 5 [2, 4]|PNE route: [POIs: (2323, 338015, atm_bank, 0.2275638260189966), (679, 337755, restaurant, 0.2769138351644919), (3145, 337755, pharmacy, 0.0), (679, 337755, restaurant, 0.0), (3145, 337755, pharmacy, 0.0), Length: 0.5044776611834885, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2323, 338015, atm_bank, 0.2275638260189966), (679, 337755, restaurant, 0.2769138351644919), (3145, 337755, pharmacy, 0.0), (679, 337755, restaurant, 0.0), (3145, 337755, pharmacy, 0.0), Length: 0.5044776611834885, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 201 ms|Time for PNE: 69 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
283793 [4, 6, 5, 6, 4] 5 [0, 4]|PNE route: [POIs: (2854, 272358, pharmacy, 6.554849869269446), (4441, 272791, gas_station, 0.3332147365858877), (3816, 275431, pub_bar, 3.2057716832538086), (4539, 276224, gas_station, 0.9249582751074575), (3228, 275384, pharmacy, 1.0117032214541353), Length: 12.030497785670734, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3228, 275384, pharmacy, 9.721420588476303), (4539, 276224, gas_station, 1.0117032214541353), (3816, 275431, pub_bar, 0.9249582751074575), (4539, 276224, gas_station, 0.9249582751074575), (3228, 275384, pharmacy, 1.0117032214541353), Length: 13.594743581599488, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 343503 ms|Time for PNE: 1403 ms|Time for KNN: 2887 ms|Time for Dijkstra: 339052 ms|Heap fetches: 237|Max heap size: 59
