Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
337275 [0, 6, 6, 0] 4 [0, 3]|PNE route: [POIs: (1580, 341713, restaurant, 1.5420877551383396), (4387, 367074, gas_station, 1.3295310901730693), (4387, 367074, gas_station, 0.0), (22, 367071, restaurant, 0.04043689702712226), Length: 2.912055742338531, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (22, 367071, restaurant, 2.9120557423385316), (4387, 367074, gas_station, 0.04043689702712226), (4387, 367074, gas_station, 0.0), (22, 367071, restaurant, 0.04043689702712226), Length: 2.9929295363927757, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 82927 ms|Time for PNE: 896 ms|Time for KNN: 266 ms|Time for Dijkstra: 81517 ms|Heap fetches: 84|Max heap size: 56
315827 [3, 2, 3, 4] 4 [0, 2]|PNE route: [POIs: (2695, 310697, movie_theater, 2.1757096798988043), (2109, 311437, atm_bank, 0.6790983211548633), (2695, 310697, movie_theater, 0.6790983211548636), (3301, 309687, pharmacy, 0.8137435722126977), Length: 4.347649894421228, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2695, 310697, movie_theater, 2.1757096798988043), (2109, 311437, atm_bank, 0.6790983211548633), (2695, 310697, movie_theater, 0.6790983211548636), (3301, 309687, pharmacy, 0.8137435722126977), Length: 4.347649894421228, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 545 ms|Time for PNE: 416 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
120503 [6, 4, 6, 3] 4 [0, 2]|PNE route: [POIs: (4479, 120453, gas_station, 0.28496394761007127), (3006, 124088, pharmacy, 0.5990733874254813), (4479, 120453, gas_station, 0.5990733874254814), (2696, 120425, movie_theater, 0.9705070698296191), Length: 2.453617792290653, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4479, 120453, gas_station, 0.28496394761007127), (3006, 124088, pharmacy, 0.5990733874254813), (4479, 120453, gas_station, 0.5990733874254814), (2696, 120425, movie_theater, 0.9705070698296191), Length: 2.453617792290653, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 493 ms|Time for PNE: 384 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
167677 [1, 2, 5, 2] 4 [1, 3]|PNE route: [POIs: (1793, 167605, coffee_shop, 0.26525185780466554), (2570, 167605, atm_bank, 0.0), (3746, 167589, pub_bar, 0.12970854898035192), (2570, 167605, atm_bank, 0.12970854898035195), Length: 0.5246689557653694, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1793, 167605, coffee_shop, 0.26525185780466554), (2570, 167605, atm_bank, 0.0), (3746, 167589, pub_bar, 0.12970854898035192), (2570, 167605, atm_bank, 0.12970854898035195), Length: 0.5246689557653694, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 247 ms|Time for PNE: 138 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
359522 [4, 1, 4, 5] 4 [0, 2]|PNE route: [POIs: (2897, 316247, pharmacy, 4.171541337919217), (1050, 356724, coffee_shop, 0.07173519089913949), (2897, 316247, pharmacy, 0.07173519089913949), (4171, 316151, pub_bar, 0.10405419220998548), Length: 4.419065911927482, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2897, 316247, pharmacy, 4.171541337919217), (1050, 356724, coffee_shop, 0.07173519089913949), (2897, 316247, pharmacy, 0.07173519089913949), (4171, 316151, pub_bar, 0.10405419220998548), Length: 4.419065911927482, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 971 ms|Time for PNE: 862 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
96188 [3, 0, 0, 3] 4 [0, 3]|PNE route: [POIs: (2693, 99052, movie_theater, 1.4967898901465853), (777, 99154, restaurant, 0.09914683882440656), (777, 99154, restaurant, 0.0), (2693, 99052, movie_theater, 0.09914683882440654), Length: 1.6950835677953984, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2693, 99052, movie_theater, 1.4967898901465853), (777, 99154, restaurant, 0.09914683882440656), (777, 99154, restaurant, 0.0), (2693, 99052, movie_theater, 0.09914683882440654), Length: 1.6950835677953984, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 128 ms|Time for PNE: 19 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
195082 [2, 4, 3, 2] 4 [0, 3]|PNE route: [POIs: (2320, 203686, atm_bank, 2.653827507636721), (3097, 203686, pharmacy, 0.0), (2681, 204019, movie_theater, 0.4918654243834437), (2157, 203948, atm_bank, 0.25672515298724663), Length: 3.4024180850074113, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2319, 203692, atm_bank, 2.6420764947561253), (3097, 203686, pharmacy, 0.011751012880595579), (2681, 204019, movie_theater, 0.4918654243834437), (2319, 203692, atm_bank, 0.48563124623870724), Length: 3.631324178258872, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 213247 ms|Time for PNE: 2791 ms|Time for KNN: 2637 ms|Time for Dijkstra: 207684 ms|Heap fetches: 110|Max heap size: 40
167243 [2, 2, 3, 2] 4 [1, 3]|PNE route: [POIs: (2667, 168891, atm_bank, 0.26991325581475567), (2667, 168891, atm_bank, 0.0), (2684, 168819, movie_theater, 0.32830496751944827), (2667, 168891, atm_bank, 0.3283049675194482), Length: 0.9265231908536522, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2667, 168891, atm_bank, 0.26991325581475567), (2667, 168891, atm_bank, 0.0), (2684, 168819, movie_theater, 0.32830496751944827), (2667, 168891, atm_bank, 0.3283049675194482), Length: 0.9265231908536522, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 143 ms|Time for PNE: 29 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
209489 [2, 4, 2, 5] 4 [0, 2]|PNE route: [POIs: (2483, 229564, atm_bank, 2.027902799185271), (3359, 229556, pharmacy, 0.06785759925853126), (2159, 229529, atm_bank, 0.09519584390832173), (3425, 229785, pub_bar, 0.03511741717056951), Length: 2.2260736595226938, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2483, 229564, atm_bank, 2.027902799185271), (3359, 229556, pharmacy, 0.06785759925853126), (2483, 229564, atm_bank, 0.06785759925853126), (3425, 229785, pub_bar, 0.08501120716180811), Length: 2.248629204864142, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 14845 ms|Time for PNE: 66 ms|Time for KNN: 14 ms|Time for Dijkstra: 14526 ms|Heap fetches: 9|Max heap size: 3
41154 [6, 3, 3, 3] 4 [1, 3]|PNE route: [POIs: (4459, 50020, gas_station, 6.352331237490946), (2782, 56332, movie_theater, 3.988364191315954), (2782, 56332, movie_theater, 0.0), (2782, 56332, movie_theater, 0.0), Length: 10.3406954288069, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4459, 50020, gas_station, 6.352331237490946), (2782, 56332, movie_theater, 3.988364191315954), (2782, 56332, movie_theater, 0.0), (2782, 56332, movie_theater, 0.0), Length: 10.3406954288069, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 224 ms|Time for PNE: 96 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
