Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
109664 [2, 6, 5, 0, 4, 4, 4] 7 [4, 6]|PNE route: [POIs: (2235, 158468, atm_bank, 1.4654390598760152), (4362, 158363, gas_station, 0.5756080408567845), (3727, 158057, pub_bar, 0.38357920323710004), (557, 157873, restaurant, 0.05560441823368594), (2974, 158592, pharmacy, 0.1879735270274679), (2974, 158592, pharmacy, 0.0), (2974, 158592, pharmacy, 0.0), Length: 2.668204249231054, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2235, 158468, atm_bank, 1.4654390598760152), (4362, 158363, gas_station, 0.5756080408567845), (3727, 158057, pub_bar, 0.38357920323710004), (557, 157873, restaurant, 0.05560441823368594), (2974, 158592, pharmacy, 0.1879735270274679), (2974, 158592, pharmacy, 0.0), (2974, 158592, pharmacy, 0.0), Length: 2.668204249231054, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 358 ms|Time for PNE: 249 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
200922 [1, 0, 4, 1, 1, 5, 5] 7 [0, 3]|PNE route: [POIs: (1320, 201814, coffee_shop, 0.48415701381805176), (1320, 201814, restaurant, 0.0), (2831, 222384, pharmacy, 0.4746847645823831), (1320, 201814, coffee_shop, 0.47468476458238323), (1320, 201814, coffee_shop, 0.0), (3408, 202009, pub_bar, 0.07132831711837954), (3408, 202009, pub_bar, 0.0), Length: 1.5048548601011977, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1320, 201814, coffee_shop, 0.48415701381805176), (1320, 201814, restaurant, 0.0), (2831, 222384, pharmacy, 0.4746847645823831), (1320, 201814, coffee_shop, 0.47468476458238323), (1320, 201814, coffee_shop, 0.0), (3408, 202009, pub_bar, 0.07132831711837954), (3408, 202009, pub_bar, 0.0), Length: 1.5048548601011977, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 247 ms|Time for PNE: 138 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
400913 [3, 3, 1, 1, 2, 4, 3] 7 [1, 6]|PNE route: [POIs: (2697, 335053, movie_theater, 5.7854761888070625), (2697, 335053, movie_theater, 0.0), (1691, 331722, coffee_shop, 0.3800134202291809), (1691, 331722, coffee_shop, 0.0), (2597, 335107, atm_bank, 0.38451348961768833), (3131, 335056, pharmacy, 0.07041742405454454), (2697, 335053, movie_theater, 0.03908298366158162), Length: 6.659503506370059, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2697, 335053, movie_theater, 5.7854761888070625), (2697, 335053, movie_theater, 0.0), (1691, 331722, coffee_shop, 0.3800134202291809), (1691, 331722, coffee_shop, 0.0), (2597, 335107, atm_bank, 0.38451348961768833), (3131, 335056, pharmacy, 0.07041742405454454), (2697, 335053, movie_theater, 0.03908298366158162), Length: 6.659503506370059, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 509 ms|Time for PNE: 401 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
345596 [3, 4, 4, 6, 2, 3, 1] 7 [0, 5]|PNE route: [POIs: (2772, 329020, movie_theater, 3.035709045745895), (3306, 323152, pharmacy, 0.337012602215286), (3306, 323152, pharmacy, 0.0), (4489, 329198, gas_station, 0.9598097675077328), (2187, 329013, atm_bank, 0.7334634948211158), (2772, 329020, movie_theater, 0.16261317940237813), (108, 328990, coffee_shop, 0.25098319607890573), Length: 5.479591285771313, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2772, 329020, movie_theater, 3.035709045745895), (3306, 323152, pharmacy, 0.337012602215286), (3306, 323152, pharmacy, 0.0), (4489, 329198, gas_station, 0.9598097675077328), (2187, 329013, atm_bank, 0.7334634948211158), (2772, 329020, movie_theater, 0.16261317940237813), (108, 328990, coffee_shop, 0.25098319607890573), Length: 5.479591285771313, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 31139 ms|Time for PNE: 31030 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
211147 [5, 0, 5, 0, 6, 3, 4] 7 [0, 2]|PNE route: [POIs: (3524, 203467, pub_bar, 3.91326626374847), (205, 203467, restaurant, 0.0), (3524, 203467, pub_bar, 0.0), (1378, 204958, restaurant, 0.12628974654669853), (4496, 205493, gas_station, 0.7277781312112687), (2681, 204019, movie_theater, 1.4947090796461149), (3112, 203816, pharmacy, 0.2841261054498878), Length: 6.546169326602439, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3524, 203467, pub_bar, 3.91326626374847), (205, 203467, restaurant, 0.0), (3524, 203467, pub_bar, 0.0), (1378, 204958, restaurant, 0.12628974654669853), (4496, 205493, gas_station, 0.7277781312112687), (2681, 204019, movie_theater, 1.4947090796461149), (3112, 203816, pharmacy, 0.2841261054498878), Length: 6.546169326602439, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 132591 ms|Time for PNE: 132482 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
136039 [0, 1, 2, 1, 6, 3, 5] 7 [1, 3]|PNE route: [POIs: (1074, 136760, restaurant, 0.70710205125864), (1074, 136760, coffee_shop, 0.0), (2143, 138820, atm_bank, 0.3716473022099664), (1420, 138725, coffee_shop, 0.5666748387763586), (4414, 139471, gas_station, 0.5177328381607484), (2773, 139144, movie_theater, 0.24783093141930856), (3667, 139132, pub_bar, 0.04105944115035705), Length: 2.4520474029753787, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (68, 138939, restaurant, 2.056553632257448), (68, 138939, coffee_shop, 0.0), (2431, 138939, atm_bank, 0.0), (68, 138939, coffee_shop, 0.0), (4414, 139471, gas_station, 0.5459056166611541), (2773, 139144, movie_theater, 0.24783093141930856), (3667, 139132, pub_bar, 0.04105944115035705), Length: 2.891349621488267, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1560132 ms|Time for PNE: 7461 ms|Time for KNN: 5571 ms|Time for Dijkstra: 1546774 ms|Heap fetches: 1326|Max heap size: 211
208311 [5, 6, 5, 6, 1, 4, 6] 7 [0, 2]|PNE route: [POIs: (3410, 207404, pub_bar, 0.45373533892731627), (4372, 207476, gas_station, 1.0660909723488665), (3406, 200362, pub_bar, 1.1082513741494655), (4373, 199295, gas_station, 0.3761552696059931), (1320, 201814, coffee_shop, 0.6714520558021928), (2830, 221638, pharmacy, 0.7055212382060171), (4373, 199295, gas_station, 0.5840186860392076), Length: 4.965224935079059, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3406, 200362, pub_bar, 2.1933845053815664), (4373, 199295, gas_station, 0.3761552696059931), (3406, 200362, pub_bar, 0.37615526960599305), (4373, 199295, gas_station, 0.3761552696059931), (1320, 201814, coffee_shop, 0.6714520558021928), (2830, 221638, pharmacy, 0.7055212382060171), (4373, 199295, gas_station, 0.5840186860392076), Length: 5.2828422942469615, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 377207 ms|Time for PNE: 20120 ms|Time for KNN: 3684 ms|Time for Dijkstra: 352716 ms|Heap fetches: 384|Max heap size: 82
23551 [3, 5, 1, 6, 3, 2, 0] 7 [0, 4]|PNE route: [POIs: (2736, 112380, movie_theater, 7.219391800115142), (3649, 113748, pub_bar, 0.6231693019323452), (1549, 75749, coffee_shop, 0.8734373016118648), (4397, 76454, gas_station, 0.5951770579723357), (2778, 114075, movie_theater, 0.7886912931246314), (2189, 114350, atm_bank, 0.5957643852361394), (2062, 114212, restaurant, 0.011532940466339622), Length: 10.7071640804588, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2722, 255396, movie_theater, 7.410226037002898), (3922, 252718, pub_bar, 1.528920786833993), (617, 252644, coffee_shop, 0.14050402158432426), (4515, 252558, gas_station, 0.4226298574296198), (2722, 255396, movie_theater, 1.1787468220398007), (2372, 255320, atm_bank, 0.08473461699884297), (603, 255424, restaurant, 0.12378512711628367), Length: 10.88954726900576, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5535549 ms|Time for PNE: 32466 ms|Time for KNN: 29232 ms|Time for Dijkstra: 5473363 ms|Heap fetches: 3181|Max heap size: 449
225568 [5, 4, 6, 5, 5, 0, 5] 7 [4, 6]|PNE route: [POIs: (3437, 225568, pub_bar, 0.0), (3255, 225660, pharmacy, 0.5679330364260755), (4524, 166237, gas_station, 0.7808185694628668), (3543, 166245, pub_bar, 0.4208443006373707), (3543, 166245, pub_bar, 0.0), (147, 166245, restaurant, 0.0), (3543, 166245, pub_bar, 0.0), Length: 1.769595906526313, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3437, 225568, pub_bar, 0.0), (3255, 225660, pharmacy, 0.5679330364260755), (4524, 166237, gas_station, 0.7808185694628668), (3543, 166245, pub_bar, 0.4208443006373707), (3543, 166245, pub_bar, 0.0), (147, 166245, restaurant, 0.0), (3543, 166245, pub_bar, 0.0), Length: 1.769595906526313, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1706 ms|Time for PNE: 1416 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
410894 [3, 5, 4, 2, 6, 5, 4] 7 [1, 5]|PNE route: [POIs: (2721, 241637, movie_theater, 6.592432703067417), (3810, 241658, pub_bar, 0.19183334575934433), (3220, 241713, pharmacy, 0.369589533621247), (2295, 241941, atm_bank, 0.046604954913280025), (4448, 241987, gas_station, 0.34451049595170047), (3810, 241658, pub_bar, 0.6674950746596674), (3219, 241586, pharmacy, 0.05144114251911973), Length: 8.263907250491778, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2721, 241637, movie_theater, 6.592432703067417), (3810, 241658, pub_bar, 0.19183334575934433), (3220, 241713, pharmacy, 0.369589533621247), (2295, 241941, atm_bank, 0.046604954913280025), (4448, 241987, gas_station, 0.34451049595170047), (3810, 241658, pub_bar, 0.6674950746596674), (3219, 241586, pharmacy, 0.05144114251911973), Length: 8.263907250491778, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 646 ms|Time for PNE: 537 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
