Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
60010 [0, 1, 1, 1, 6] 5 [1, 3]|Found route: [POIs: (1439, 57455, restaurant, 2.8982774805341633), (1438, 57458, coffee_shop, 0.08584450063012916), (1438, 57458, coffee_shop, 0.0), (1508, 57458, coffee_shop, 0.0), (4530, 57523, gas_station, 0.8530971319813717), Length: 3.837219113145664, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2557 ms|Time for KNN: 2531 ms|Heap fetches: 2628|Max heap size: 294
290517 [4, 4, 6, 4, 3] 5 [1, 3]|Found route: [POIs: (3039, 292155, pharmacy, 1.6194503143500072), (3039, 292155, pharmacy, 0.0), (4525, 292060, gas_station, 0.09720528887289077), (3036, 293060, pharmacy, 0.8196862241443653), (2787, 299711, movie_theater, 0.9278202276697746), Length: 3.464162055037038, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4730 ms|Time for KNN: 4728 ms|Heap fetches: 248|Max heap size: 50
395387 [4, 2, 4, 6, 1] 5 [0, 2]|Found route: [POIs: (3129, 335391, pharmacy, 0.6212841394900182), (2351, 335386, atm_bank, 0.08266946676975231), (3130, 335370, pharmacy, 0.0633590338996117), (4385, 335934, gas_station, 1.1994873564453232), (1572, 335836, coffee_shop, 0.6435694031549078), Length: 2.6103693997596134, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3339 ms|Time for KNN: 3335 ms|Heap fetches: 545|Max heap size: 259
158786 [3, 3, 3, 6, 1] 5 [0, 2]|Found route: [POIs: (2791, 144221, movie_theater, 2.3928109682658167), (2746, 147683, movie_theater, 0.4932355220426241), (2746, 147683, movie_theater, 0.0), (4535, 147405, gas_station, 0.3717209875667102), (1700, 147503, coffee_shop, 0.06937421625489362), Length: 3.3271416941300447, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 334 ms|Time for KNN: 333 ms|Heap fetches: 76|Max heap size: 43
115474 [2, 4, 6, 4, 2] 5 [1, 3]|Found route: [POIs: (2171, 114867, atm_bank, 1.8201225092271895), (3202, 114990, pharmacy, 0.06899636401379111), (4479, 120453, gas_station, 0.7686063692650793), (3006, 124088, pharmacy, 0.5990733874254813), (2181, 124121, atm_bank, 0.09268733065868572), Length: 3.3494859605902265, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 593 ms|Time for KNN: 591 ms|Heap fetches: 313|Max heap size: 260
208093 [5, 2, 5, 4, 1] 5 [0, 2]|Found route: [POIs: (3410, 207404, pub_bar, 1.1952288032882619), (2543, 207401, atm_bank, 0.16088852691974398), (3479, 203895, pub_bar, 1.2391704784542976), (3305, 205849, pharmacy, 0.22052243369444202), (1375, 205516, coffee_shop, 0.02959372839567736), Length: 2.8454039707524226, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 914 ms|Time for KNN: 911 ms|Heap fetches: 479|Max heap size: 237
427166 [1, 3, 5, 0, 5] 5 [2, 4]|Found route: [POIs: (900, 390195, coffee_shop, 2.593418968963835), (2755, 390195, movie_theater, 0.0), (3637, 388877, pub_bar, 0.5118373046124068), (628, 391326, restaurant, 0.4355831458065599), (3638, 387802, pub_bar, 1.5685605992822165), Length: 5.109400018665019, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 81 ms|Time for KNN: 79 ms|Heap fetches: 20|Max heap size: 7
204547 [5, 2, 5, 4, 0] 5 [0, 2]|Found route: [POIs: (3554, 203572, pub_bar, 0.6391070812665464), (2265, 203574, atm_bank, 0.010871116840759705), (3524, 203467, pub_bar, 0.019616070280160623), (3304, 204958, pharmacy, 0.12628974654669853), (1378, 204958, restaurant, 0.0), Length: 0.7958840149341653, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 9 ms|Time for KNN: 9 ms|Heap fetches: 14|Max heap size: 12
107991 [0, 2, 1, 2, 1] 5 [1, 3]|Found route: [POIs: (652, 103285, restaurant, 1.6054009848925548), (2279, 103283, atm_bank, 0.13000126243340698), (1548, 103389, coffee_shop, 0.18728618271044797), (2343, 103389, atm_bank, 0.0), (1548, 103389, coffee_shop, 0.0), Length: 1.9226884300364098, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 84 ms|Time for KNN: 83 ms|Heap fetches: 53|Max heap size: 38
47924 [1, 5, 5, 5, 1] 5 [1, 3]|Found route: [POIs: (94, 57456, coffee_shop, 4.333075210617052), (3454, 57456, pub_bar, 0.0), (3454, 57456, pub_bar, 0.0), (3455, 57455, pub_bar, 0.08842667045550534), (1438, 57458, coffee_shop, 0.08584450063012916), Length: 4.507346381702686, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 91 ms|Time for KNN: 91 ms|Heap fetches: 37|Max heap size: 15
