Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
393993 [3, 2, 1, 6, 1] 5 [2, 4]|Found route: [POIs: (2730, 237539, movie_theater, 1.6569609686332902), (2419, 237278, atm_bank, 0.5604726157048134), (1059, 237299, coffee_shop, 0.09106933896653585), (4445, 237271, gas_station, 0.3914434802291128), (695, 237584, coffee_shop, 0.3230523810767849), Length: 3.0229987846105373, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 111 ms|Time for KNN: 110 ms|Heap fetches: 100|Max heap size: 22
126239 [5, 4, 5, 3, 5] 5 [0, 2]|Found route: [POIs: (3947, 126416, pub_bar, 0.2494386290373173), (2933, 126926, pharmacy, 0.5553613576003668), (4221, 126970, pub_bar, 0.5213335292377301), (2786, 127794, movie_theater, 0.37007908659081035), (4298, 127375, pub_bar, 0.1993255465789063), Length: 1.8955381490451308, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 938 ms|Time for KNN: 934 ms|Heap fetches: 828|Max heap size: 334
349926 [0, 0, 5, 0, 1] 5 [1, 3]|Found route: [POIs: (496, 404223, restaurant, 0.6448750122722112), (496, 404223, restaurant, 0.0), (3611, 404209, pub_bar, 0.08246096085932365), (457, 349651, restaurant, 0.7752175565995642), (457, 349651, coffee_shop, 0.0), Length: 1.5025535297310992, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 157 ms|Time for KNN: 156 ms|Heap fetches: 192|Max heap size: 73
171241 [5, 6, 5, 1, 3] 5 [0, 2]|Found route: [POIs: (4310, 167537, pub_bar, 1.1704368392558033), (4437, 167249, gas_station, 0.9297007025898268), (4297, 138327, pub_bar, 0.5250757088761089), (1647, 138265, coffee_shop, 0.16157957856807859), (2790, 139065, movie_theater, 0.432900414675447), Length: 3.2196932439652644, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1352 ms|Time for KNN: 1351 ms|Heap fetches: 149|Max heap size: 78
236883 [5, 0, 5, 3, 1] 5 [0, 2]|Found route: [POIs: (4098, 234148, pub_bar, 1.5130063190740035), (1504, 234148, restaurant, 0.0), (4317, 234167, pub_bar, 0.13536663662963738), (2753, 233915, movie_theater, 0.19901203603033932), (586, 233722, coffee_shop, 0.38055155994049883), Length: 2.227936551674479, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 411 ms|Time for KNN: 409 ms|Heap fetches: 379|Max heap size: 80
38364 [5, 1, 4, 1, 3] 5 [1, 3]|Found route: [POIs: (3634, 293566, pub_bar, 4.768110955263982), (1985, 293547, coffee_shop, 0.15112111865198277), (3310, 293547, pharmacy, 0.0), (1405, 293545, coffee_shop, 0.15573970175784738), (2787, 299711, movie_theater, 0.39842268197587344), Length: 5.473394457649685, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 7418 ms|Time for KNN: 7392 ms|Heap fetches: 4860|Max heap size: 758
389291 [3, 6, 5, 3, 5] 5 [2, 4]|Found route: [POIs: (2707, 388877, movie_theater, 1.0983360294815552), (4475, 389368, gas_station, 0.8638376683112173), (3637, 388877, pub_bar, 0.8638376683112174), (2707, 388877, movie_theater, 0.0), (3638, 387802, pub_bar, 1.316621731865355), Length: 4.142633097969345, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 57 ms|Time for KNN: 57 ms|Heap fetches: 11|Max heap size: 5
400934 [5, 6, 5, 5, 1] 5 [0, 2]|Found route: [POIs: (3732, 242308, pub_bar, 3.4788812337632837), (4448, 241987, gas_station, 0.6157255460520954), (3812, 242260, pub_bar, 0.4012477944682303), (3812, 242260, pub_bar, 0.0), (833, 242050, coffee_shop, 0.1265850043704421), Length: 4.622439578654052, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 74 ms|Time for KNN: 74 ms|Heap fetches: 15|Max heap size: 9
370381 [1, 1, 1, 2, 3] 5 [0, 2]|Found route: [POIs: (237, 364963, coffee_shop, 1.1747515238455335), (237, 364963, coffee_shop, 0.0), (2058, 369272, coffee_shop, 2.187510605258944), (2306, 369671, atm_bank, 0.8903332079837896), (2699, 370865, movie_theater, 0.9238353130548467), Length: 5.176430650143113, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1632 ms|Time for KNN: 1629 ms|Heap fetches: 596|Max heap size: 112
317704 [4, 1, 1, 1, 6] 5 [1, 3]|Found route: [POIs: (2913, 341712, pharmacy, 1.3209166975808841), (1580, 341713, coffee_shop, 0.05961896333181632), (1580, 341713, coffee_shop, 0.0), (1236, 367069, coffee_shop, 1.0328249843113482), (4387, 367074, gas_station, 0.31881655769956785), Length: 2.732177202923616, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 418 ms|Time for KNN: 417 ms|Heap fetches: 267|Max heap size: 77
