Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
48442 [5, 6, 5, 6, 4] 5 [1, 3]|Found route: [POIs: (3705, 57548, pub_bar, 4.1653159477271275), (4530, 57523, gas_station, 0.3519273233863615), (3705, 57548, pub_bar, 0.35192732338636146), (4401, 55518, gas_station, 1.266268642403812), (2862, 56943, pharmacy, 0.21911975071795198), Length: 6.354558987621614, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1035 ms|Time for KNN: 1023 ms|Heap fetches: 403|Max heap size: 185
377225 [2, 3, 5, 3, 2] 5 [1, 3]|Found route: [POIs: (2249, 387394, atm_bank, 2.4379648938569987), (2755, 390195, movie_theater, 0.6108629614949086), (3637, 388877, pub_bar, 0.5118373046124068), (2707, 388877, movie_theater, 0.0), (2231, 388700, atm_bank, 0.0900486704473247), Length: 3.6507138304116387, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 345 ms|Time for KNN: 344 ms|Heap fetches: 60|Max heap size: 31
353676 [6, 5, 6, 1, 6] 5 [0, 2]|Found route: [POIs: (4430, 354980, gas_station, 1.906124126208083), (3438, 355732, pub_bar, 1.185316184663385), (4426, 361068, gas_station, 1.4027317349047645), (446, 360751, coffee_shop, 0.6654174521259462), (4426, 361068, gas_station, 0.6654174521259463), Length: 5.825006950028125, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 516 ms|Time for KNN: 515 ms|Heap fetches: 107|Max heap size: 46
198735 [0, 5, 3, 6, 3] 5 [2, 4]|Found route: [POIs: (1728, 166259, restaurant, 5.11471246943789), (4049, 166126, pub_bar, 0.15381057423068195), (2794, 166640, movie_theater, 0.6105436440457648), (4524, 166237, gas_station, 0.24060291803385395), (2777, 166597, movie_theater, 0.556179625806515), Length: 6.675849231554706, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 32103 ms|Time for KNN: 32035 ms|Heap fetches: 3966|Max heap size: 1296
71560 [3, 4, 3, 0, 4] 5 [0, 2]|Found route: [POIs: (2778, 114075, movie_theater, 2.334699161618158), (3251, 113988, pharmacy, 0.48270623324556994), (2774, 113988, movie_theater, 0.0), (920, 113989, restaurant, 0.15234973944218705), (3247, 114360, pharmacy, 0.06842776105949361), Length: 3.0381828953654084, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 69 ms|Time for KNN: 68 ms|Heap fetches: 40|Max heap size: 21
31532 [1, 5, 6, 2, 6] 5 [2, 4]|Found route: [POIs: (166, 25435, coffee_shop, 2.6035346630724927), (3492, 25242, pub_bar, 0.025445245012232713), (4462, 25078, gas_station, 0.42020696192828455), (2393, 24254, atm_bank, 0.3168678318227413), (4461, 24323, gas_station, 0.07724950337882128), Length: 3.4433042052145724, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 91 ms|Time for KNN: 90 ms|Heap fetches: 38|Max heap size: 16
186579 [6, 1, 6, 2, 5] 5 [0, 2]|Found route: [POIs: (4488, 187942, gas_station, 0.9569103492751776), (2038, 178655, coffee_shop, 0.7276616032653348), (4456, 178196, gas_station, 1.2943726473770314), (2664, 178224, atm_bank, 0.004397815573826382), (3431, 178272, pub_bar, 0.4682700843302517), Length: 3.4516124998216213, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2616 ms|Time for KNN: 2611 ms|Heap fetches: 935|Max heap size: 211
321882 [0, 6, 1, 6, 3] 5 [1, 3]|Found route: [POIs: (168, 321393, restaurant, 0.45095761861480765), (4377, 178603, gas_station, 0.7596015329620261), (1453, 178201, coffee_shop, 0.4794770221662816), (4456, 178196, gas_station, 0.3168195222534883), (2776, 176524, movie_theater, 0.9127696289816136), Length: 2.9196253249782176, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5994 ms|Time for KNN: 5987 ms|Heap fetches: 1537|Max heap size: 232
249269 [6, 4, 6, 6, 6] 5 [0, 2]|Found route: [POIs: (4448, 241987, gas_station, 4.895888840226293), (3069, 241690, pharmacy, 0.12483705211523347), (4506, 242566, gas_station, 0.4983044364183109), (4506, 242566, gas_station, 0.0), (4506, 242566, gas_station, 0.0), Length: 5.519030328759838, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 55 ms|Time for KNN: 55 ms|Heap fetches: 18|Max heap size: 13
16253 [6, 6, 6, 2, 1] 5 [0, 2]|Found route: [POIs: (4461, 24323, gas_station, 3.1328974609156166), (4462, 25078, gas_station, 0.28600287409649533), (4462, 25078, gas_station, 0.0), (2207, 25336, atm_bank, 0.44582053950128486), (165, 25405, coffee_shop, 0.19259993071406856), Length: 4.057320805227466, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 79 ms|Time for KNN: 79 ms|Heap fetches: 59|Max heap size: 20
