Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
374921 [5, 2, 4, 5, 4] 5 [2, 4]|Found route: [POIs: (3740, 373838, pub_bar, 2.318163680860669), (2101, 372716, atm_bank, 0.7079757077640757), (3283, 372716, pharmacy, 0.0), (3796, 369054, pub_bar, 0.7035880043600149), (3193, 369047, pharmacy, 0.041358327670155424), Length: 3.7710857206549147, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 107 ms|Time for KNN: 106 ms|Heap fetches: 40|Max heap size: 28
259850 [2, 2, 0, 2, 1] 5 [1, 3]|Found route: [POIs: (2401, 259489, atm_bank, 1.4741401547836817), (2401, 259489, atm_bank, 0.0), (711, 259713, restaurant, 0.04404755968699792), (2402, 259575, atm_bank, 0.19331536380751907), (711, 259713, coffee_shop, 0.19331536380751907), Length: 1.904818442085718, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 24 ms|Time for KNN: 23 ms|Heap fetches: 32|Max heap size: 12
54444 [0, 0, 4, 0, 4] 5 [2, 4]|Found route: [POIs: (340, 56943, restaurant, 0.49695730035062924), (340, 56943, restaurant, 0.0), (2862, 56943, pharmacy, 0.0), (340, 56943, restaurant, 0.0), (2886, 55685, pharmacy, 0.5318473343722662), Length: 1.0288046347228954, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 7 ms|Time for KNN: 7 ms|Heap fetches: 9|Max heap size: 4
255361 [4, 4, 2, 4, 6] 5 [1, 3]|Found route: [POIs: (3139, 255317, pharmacy, 0.2305287498822907), (3139, 255317, pharmacy, 0.0), (2372, 255320, atm_bank, 0.11588921573563957), (3138, 255178, pharmacy, 0.22492941663206348), (4515, 252558, gas_station, 1.0153819669737614), Length: 1.586729349223755, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 146 ms|Time for KNN: 144 ms|Heap fetches: 160|Max heap size: 30
200466 [4, 5, 4, 3, 3] 5 [0, 2]|Found route: [POIs: (3192, 207387, pharmacy, 1.5028016361154521), (3410, 207404, pub_bar, 0.09477747677305494), (3112, 203816, pharmacy, 1.4556796117143902), (2681, 204019, movie_theater, 0.28412610544988787), (2681, 204019, movie_theater, 0.0), Length: 3.3373848300527853, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 711 ms|Time for KNN: 709 ms|Heap fetches: 328|Max heap size: 310
95006 [1, 5, 4, 0, 4] 5 [2, 4]|Found route: [POIs: (11, 95231, coffee_shop, 1.4842277616592339), (4044, 95077, pub_bar, 0.12460210546232389), (2834, 95413, pharmacy, 0.19302526158991246), (202, 95615, restaurant, 0.028097190448529076), (3185, 97723, pharmacy, 0.14315408291297563), Length: 1.9731064020729747, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 26 ms|Time for KNN: 26 ms|Heap fetches: 19|Max heap size: 10
295725 [4, 4, 4, 0, 4] 5 [0, 2]|Found route: [POIs: (3090, 307091, pharmacy, 2.293059979475799), (3090, 307091, pharmacy, 0.0), (2890, 308150, pharmacy, 0.38017226118445957), (1596, 308150, restaurant, 0.0), (2890, 308150, pharmacy, 0.0), Length: 2.6732322406602584, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 39 ms|Time for KNN: 38 ms|Heap fetches: 26|Max heap size: 15
147201 [1, 4, 4, 6, 4] 5 [2, 4]|Found route: [POIs: (770, 100304, coffee_shop, 0.9557994615076497), (2969, 100227, pharmacy, 0.10355590362382915), (2969, 100227, pharmacy, 0.0), (4468, 100177, gas_station, 0.12291145957286097), (2961, 99914, pharmacy, 0.2978879096961585), Length: 1.4801547344004984, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 606 ms|Time for KNN: 604 ms|Heap fetches: 518|Max heap size: 150
113584 [4, 6, 4, 2, 1] 5 [0, 2]|Found route: [POIs: (3399, 113205, pharmacy, 1.2014954546465009), (4424, 29042, gas_station, 1.1037551472487486), (2893, 28494, pharmacy, 0.5116382281019988), (2147, 28350, atm_bank, 0.008254087420142855), (816, 28489, coffee_shop, 0.04029163299214192), Length: 2.8654345504095327, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 123 ms|Time for KNN: 123 ms|Heap fetches: 46|Max heap size: 34
203268 [0, 2, 6, 2, 3] 5 [1, 3]|Found route: [POIs: (1353, 204957, restaurant, 1.963583557551019), (2169, 204957, atm_bank, 0.0), (4496, 205493, gas_station, 0.7752683023192816), (2319, 203692, atm_bank, 1.0090778334074075), (2681, 204019, movie_theater, 0.48563124623870724), Length: 4.2335609395164155, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3208 ms|Time for KNN: 3200 ms|Heap fetches: 1832|Max heap size: 357
