Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
143988 [2, 6, 5, 0, 4, 4, 4] 7 [4, 6]|Found route: [POIs: (2553, 100220, atm_bank, 0.15908183889056532), (4468, 100177, gas_station, 0.2495255159972018), (3958, 99947, pub_bar, 0.2605724413238619), (1411, 99890, restaurant, 0.06654047921650214), (2961, 99914, pharmacy, 0.10385594758879868), (2961, 99914, pharmacy, 0.0), (2962, 100118, pharmacy, 0.13398168565294016), Length: 0.97355790866987, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 154 ms|Time for KNN: 153 ms|Heap fetches: 193|Max heap size: 55
220795 [1, 0, 4, 1, 1, 5, 5] 7 [0, 3]|Found route: [POIs: (1091, 164285, coffee_shop, 1.661709276185029), (1087, 164168, restaurant, 0.12578634674550096), (3171, 164856, pharmacy, 0.10236444180041002), (1092, 164408, coffee_shop, 0.20052816171320062), (1092, 164408, coffee_shop, 0.0), (3893, 164287, pub_bar, 0.022035502061433773), (3893, 164287, pub_bar, 0.0), Length: 2.112423728505574, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 168 ms|Time for KNN: 167 ms|Heap fetches: 145|Max heap size: 124
405830 [3, 3, 1, 1, 2, 4, 3] 7 [1, 6]|Found route: [POIs: (2697, 335053, movie_theater, 5.342245730447047), (2697, 335053, movie_theater, 0.0), (1691, 331722, coffee_shop, 0.3800134202291809), (1691, 331722, coffee_shop, 0.0), (2597, 335107, atm_bank, 0.38451348961768833), (3131, 335056, pharmacy, 0.07041742405454454), (2770, 392427, movie_theater, 1.6022142957127756), Length: 7.779404360061237, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4959 ms|Time for KNN: 4944 ms|Heap fetches: 1990|Max heap size: 313
56590 [3, 4, 4, 6, 2, 3, 1] 7 [0, 5]|Found route: [POIs: (2782, 56332, movie_theater, 0.3493820722494908), (2878, 57458, pharmacy, 0.22362518318022456), (2878, 57458, pharmacy, 0.0), (4530, 57523, gas_station, 0.8530971319813717), (2281, 57455, atm_bank, 0.7672526313512424), (2797, 57488, movie_theater, 0.06412075298050063), (1438, 57458, coffee_shop, 0.1499652536106298), Length: 2.4074430253534596, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1719 ms|Time for KNN: 1706 ms|Heap fetches: 1336|Max heap size: 919
400324 [5, 0, 5, 0, 6, 3, 4] 7 [0, 2]|Found route: [POIs: (3732, 242308, pub_bar, 3.420565226186994), (833, 242050, restaurant, 0.502467104746574), (3812, 242260, pub_bar, 0.1265850043704421), (351, 242089, restaurant, 0.24930624725771489), (4448, 241987, gas_station, 0.15194154721051537), (2721, 241637, movie_theater, 0.47566172890032316), (3350, 241985, pharmacy, 0.09169748863186386), Length: 5.018224347304426, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 305 ms|Time for KNN: 303 ms|Heap fetches: 318|Max heap size: 217
385406 [0, 1, 2, 1, 6, 3, 5] 7 [1, 3]|Found route: [POIs: (1225, 382214, restaurant, 0.616721190812294), (1220, 382505, coffee_shop, 0.5720036376567718), (2330, 385843, atm_bank, 1.2333392314791713), (900, 390195, coffee_shop, 1.6432757761518253), (4475, 389368, gas_station, 1.2943599214794657), (2707, 388877, movie_theater, 0.8638376683112174), (3637, 388877, pub_bar, 0.0), Length: 6.223537425890746, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 31054 ms|Time for KNN: 30805 ms|Heap fetches: 7760|Max heap size: 3247
28968 [5, 6, 5, 6, 1, 4, 6] 7 [0, 2]|Found route: [POIs: (3584, 128575, pub_bar, 3.093731476111136), (4463, 128702, gas_station, 0.3975618351128658), (3583, 128679, pub_bar, 0.06356492346540593), (4463, 128702, gas_station, 0.06356492346540593), (307, 128730, coffee_shop, 0.06782855695548956), (2930, 128627, pharmacy, 0.05035288930742494), (4463, 128702, gas_station, 0.11818144626291452), Length: 3.8547860506806426, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 231 ms|Time for KNN: 230 ms|Heap fetches: 59|Max heap size: 43
60256 [3, 5, 1, 6, 3, 2, 0] 7 [0, 4]|Found route: [POIs: (2782, 56332, movie_theater, 2.6287959937692653), (3454, 57456, pub_bar, 0.06354205223533095), (94, 57456, coffee_shop, 0.0), (4530, 57523, gas_station, 0.855679301806748), (2797, 57488, movie_theater, 0.7514999452934655), (2281, 57455, atm_bank, 0.06412075298050063), (1439, 57455, restaurant, 0.0), Length: 4.363638046085311, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 802 ms|Time for KNN: 798 ms|Heap fetches: 611|Max heap size: 562
347891 [5, 4, 6, 5, 5, 0, 5] 7 [4, 6]|Found route: [POIs: (3713, 347312, pub_bar, 1.3433693861385132), (3116, 347245, pharmacy, 0.25025927391321523), (4484, 349393, gas_station, 0.5462270102696258), (3713, 347312, pub_bar, 0.5635105583860371), (3713, 347312, pub_bar, 0.0), (463, 347063, restaurant, 0.06319648197017677), (3709, 346849, pub_bar, 0.399062223248146), Length: 3.1656249339257143, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 238 ms|Time for KNN: 238 ms|Heap fetches: 124|Max heap size: 59
198727 [3, 5, 4, 2, 6, 5, 4] 7 [1, 5]|Found route: [POIs: (2681, 204019, movie_theater, 2.0204799918404954), (3679, 203472, pub_bar, 0.577378490361941), (3304, 204958, pharmacy, 0.45134871261795817), (2544, 205336, atm_bank, 0.039345184529613345), (4496, 205493, gas_station, 0.7671233157408821), (3524, 203467, pub_bar, 0.8540678777579669), (3304, 204958, pharmacy, 0.12628974654669853), Length: 4.836033319395556, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1863 ms|Time for KNN: 1854 ms|Heap fetches: 870|Max heap size: 708
91420 [6, 4, 6, 6, 5, 5, 3] 7 [0, 2]|Found route: [POIs: (4487, 88016, gas_station, 1.6497026951476619), (3183, 97656, pharmacy, 0.4613265200832405), (4486, 97715, gas_station, 0.15758151145907429), (4486, 97715, gas_station, 0.0), (4044, 95077, pub_bar, 0.5856264312201269), (4044, 95077, pub_bar, 0.0), (2682, 95231, movie_theater, 0.1246021054623239), Length: 2.978839263372427, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 177 ms|Time for KNN: 176 ms|Heap fetches: 202|Max heap size: 91
206005 [2, 6, 1, 2, 6, 4, 6] 7 [4, 6]|Found route: [POIs: (2226, 205336, atm_bank, 1.3604853001265422), (4496, 205493, gas_station, 0.7671233157408821), (1378, 204958, coffee_shop, 0.7277781312112683), (2226, 205336, atm_bank, 0.039345184529613345), (4496, 205493, gas_station, 0.7671233157408821), (3097, 203686, pharmacy, 1.0043225662190982), (4372, 207476, gas_station, 1.984167170432528), Length: 6.650344984000814, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 45662 ms|Time for KNN: 45482 ms|Heap fetches: 9912|Max heap size: 1767
387226 [1, 5, 4, 5, 5, 1, 4] 7 [1, 3]|Found route: [POIs: (1220, 382505, coffee_shop, 2.3139366555693255), (3953, 382736, pub_bar, 0.3437508371547509), (2948, 382438, pharmacy, 0.12709776926739605), (3950, 382508, pub_bar, 0.2649690949377048), (3950, 382508, pub_bar, 0.0), (1220, 382505, coffee_shop, 0.034411193095483135), (2948, 382438, pharmacy, 0.24559116074483925), Length: 3.3297567107694994, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 173 ms|Time for KNN: 172 ms|Heap fetches: 83|Max heap size: 41
111406 [6, 3, 6, 0, 4, 1, 4] 7 [0, 2]|Found route: [POIs: (4440, 159226, gas_station, 2.48144635002005), (2794, 166640, movie_theater, 1.9806186212816852), (4524, 166237, gas_station, 0.24060291803385395), (142, 166313, restaurant, 0.2433407765287705), (2912, 166142, pharmacy, 0.04147913342913013), (145, 166258, coffee_shop, 0.11884492997746254), (2912, 166142, pharmacy, 0.11884492997746253), Length: 5.2251776592484145, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1106 ms|Time for KNN: 1105 ms|Heap fetches: 385|Max heap size: 146
