Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
334860 [[[6], [1]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (1888, 331706, coffee_shop, 1.3769976104690187), (2697, 335053, movie_theater, 0.48507551922450826), (2349, 335178, atm_bank, 0.07728252023476088), (3129, 335391, pharmacy, 0.26099913249123974), (4385, 335934, gas_station, 1.248985049347853), Length: 3.4493398317673805, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4543 ms|Time for KNN: 4306359288 ms|Heap fetches: 1620|Max heap size: 1065
202711 [[[0], [6]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (413, 204019, restaurant, 1.3679808642998101), (2681, 204019, movie_theater, 0.0), (2319, 203692, atm_bank, 0.48563124623870724), (3303, 203711, pharmacy, 0.10581937725409171), (4496, 205493, gas_station, 0.9032584561533165), Length: 2.8626899439459255, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 18613 ms|Time for KNN: 18442190332 ms|Heap fetches: 1765|Max heap size: 339
384498 [[[5], [3]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3637, 388877, pub_bar, 4.592029877644511), (2707, 388877, movie_theater, 0.0), (2231, 388700, atm_bank, 0.0900486704473247), (3081, 391440, pharmacy, 0.22656918552143357), (4475, 389368, gas_station, 0.970396825947221), Length: 5.87904455956049, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 552 ms|Time for KNN: 389388951 ms|Heap fetches: 116|Max heap size: 57
408168 [[[1], [5]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (4233, 424193, pub_bar, 3.8591308776292688), (2806, 424193, movie_theater, 0.0), (2129, 424149, atm_bank, 0.17154477728759027), (3370, 423150, pharmacy, 0.3087541676973733), (4399, 423149, gas_station, 0.22397633978820805), Length: 4.56340616240244, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 339 ms|Time for KNN: 177432721 ms|Heap fetches: 52|Max heap size: 34
280915 [[[3], [4]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2747, 275432, movie_theater, 5.3172977293681845), (2747, 275432, movie_theater, 0.0), (2437, 275467, atm_bank, 0.327695349367367), (3227, 275456, pharmacy, 0.10992855347150066), (4539, 276224, gas_station, 1.0314131845549082), Length: 6.78633481676196, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 874 ms|Time for KNN: 708761009 ms|Heap fetches: 285|Max heap size: 118
261952 [[[2], [5]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3816, 275431, pub_bar, 3.3718882578269387), (2747, 275432, movie_theater, 0.08231787822020745), (2437, 275467, atm_bank, 0.327695349367367), (3227, 275456, pharmacy, 0.10992855347150066), (4539, 276224, gas_station, 1.0314131845549082), Length: 4.923243223440922, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 975 ms|Time for KNN: 809298380 ms|Heap fetches: 243|Max heap size: 104
214019 [[[4], [0]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3304, 204958, pharmacy, 1.8195989680118765), (2681, 204019, movie_theater, 0.7669309484348467), (2319, 203692, atm_bank, 0.48563124623870724), (3303, 203711, pharmacy, 0.10581937725409171), (4496, 205493, gas_station, 0.9032584561533165), Length: 4.081238996092838, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 8606 ms|Time for KNN: 8436026002 ms|Heap fetches: 2093|Max heap size: 408
37400 [[[4], [6]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3138, 255178, pharmacy, 4.747037567116818), (2722, 255396, movie_theater, 0.18464141652883997), (2371, 255183, atm_bank, 0.17874406405843088), (3138, 255178, pharmacy, 0.056876237860966336), (4515, 252558, gas_station, 1.0153819669737614), Length: 6.182681252538816, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3295 ms|Time for KNN: 3124414220 ms|Heap fetches: 368|Max heap size: 226
377607 [[[2], [6]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2614, 388717, atm_bank, 2.3200622434910487), (2707, 388877, movie_theater, 0.20030865868783493), (2231, 388700, atm_bank, 0.0900486704473247), (3081, 391440, pharmacy, 0.22656918552143357), (4475, 389368, gas_station, 0.970396825947221), Length: 3.807385584094863, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1300 ms|Time for KNN: 1134087703 ms|Heap fetches: 290|Max heap size: 161
233967 [[[0], [3]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (586, 233722, restaurant, 0.8482792540343063), (2753, 233915, movie_theater, 0.3805515599404988), (2263, 233005, atm_bank, 0.4621607507355332), (3000, 233234, pharmacy, 0.025037412106954794), (4465, 233451, gas_station, 1.0478595809532727), Length: 2.7638885577705654, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5822 ms|Time for KNN: 5643578555 ms|Heap fetches: 4199|Max heap size: 1831
