Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
275550 [5, 6, 5, 1, 6] [2, 1]|Found route: [POIs: (4539, 276224, gas_station, 1.5860814223034356), (4539, 276224, gas_station, 0.0), (3816, 275431, pub_bar, 0.9249582751074575), (3816, 275431, pub_bar, 0.0), (2029, 275359, coffee_shop, 0.23028223213651733), Length: 2.7413219295474107, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 7001 ms|Time for KNN: 657092165 ms|Heap fetches: 945|Max heap size: 418
279816 [2, 4, 2, 6, 4] [4, 1]|Found route: [POIs: (4441, 272791, gas_station, 3.163014347071487), (2854, 272358, pharmacy, 0.3332147365858877), (2119, 272527, atm_bank, 0.18571236428869858), (2119, 272527, atm_bank, 0.0), (2854, 272358, pharmacy, 0.18571236428869858), Length: 3.8676538122347717, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 830 ms|Time for KNN: 26372132 ms|Heap fetches: 30|Max heap size: 18
271116 [2, 6, 2, 5, 6] [2, 1]|Found route: [POIs: (4441, 272791, gas_station, 2.636074202830601), (4441, 272791, gas_station, 0.0), (2660, 275363, atm_bank, 3.467659210498765), (2660, 275363, atm_bank, 0.0), (4215, 275289, pub_bar, 0.11437489675461117), Length: 6.218108310083976, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4600 ms|Time for KNN: 1035500417 ms|Heap fetches: 493|Max heap size: 330
408466 [1, 0, 4, 2, 3] [4, 0]|Found route: [POIs: (1592, 396139, coffee_shop, 4.284244429435565), (1592, 396139, restaurant, 0.0), (3129, 335391, pharmacy, 1.010907563324605), (2349, 335178, atm_bank, 0.26099913249123974), (2697, 335053, movie_theater, 0.07728252023476087), Length: 5.6334336454861695, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 10605 ms|Time for KNN: 1118631206 ms|Heap fetches: 2622|Max heap size: 1493
273699 [6, 0, 1, 0, 3] [1, 2]|Found route: [POIs: (23, 273691, restaurant, 0.24858949822893173), (23, 273691, restaurant, 0.0), (23, 273691, coffee_shop, 0.0), (2747, 275432, movie_theater, 1.5541027364522544), (4539, 276224, gas_station, 0.9120425327118757), Length: 2.714734767393062, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 31093 ms|Time for KNN: 15102501880 ms|Heap fetches: 6002|Max heap size: 3916
145063 [5, 1, 5, 2, 0] [3, 4]|Found route: [POIs: (4335, 144405, pub_bar, 0.7225844392915244), (4335, 144405, pub_bar, 0.0), (48, 143733, coffee_shop, 0.1688905892175209), (2183, 143733, atm_bank, 0.0), (48, 143733, restaurant, 0.0), Length: 0.8914750285090453, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1701 ms|Time for KNN: 141373727 ms|Heap fetches: 276|Max heap size: 262
74577 [4, 4, 4, 2, 6] [3, 1]|Found route: [POIs: (3364, 76318, pharmacy, 1.380100112858362), (3364, 76318, pharmacy, 0.0), (3364, 76318, pharmacy, 0.0), (2190, 76472, atm_bank, 0.3390392205162626), (4397, 76454, gas_station, 0.14819441218823198), Length: 1.8673337455628567, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2386 ms|Time for KNN: 449265879 ms|Heap fetches: 648|Max heap size: 478
389291 [3, 2, 5, 4, 4] [3, 2]|Found route: [POIs: (2612, 388835, atm_bank, 0.8315540378030086), (2707, 388877, movie_theater, 0.27970422968889286), (3637, 388877, pub_bar, 0.0), (3081, 391440, pharmacy, 0.14860550653280633), (3081, 391440, pharmacy, 0.0), Length: 1.2598637740247076, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1264 ms|Time for KNN: 55029168 ms|Heap fetches: 131|Max heap size: 92
19891 [1, 0, 2, 2, 0] [3, 2]|Found route: [POIs: (1164, 19914, coffee_shop, 0.2663354824798762), (1164, 19914, restaurant, 0.0), (2173, 20023, atm_bank, 0.5813539278367301), (2173, 20023, atm_bank, 0.0), (923, 20023, restaurant, 0.0), Length: 0.8476894103166064, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1450 ms|Time for KNN: 27639847 ms|Heap fetches: 328|Max heap size: 140
187206 [6, 2, 0, 6, 2] [0, 1]|Found route: [POIs: (4488, 187942, gas_station, 1.248603454557176), (2564, 327109, atm_bank, 0.4909544858974724), (1258, 327109, restaurant, 0.0), (2564, 327109, atm_bank, 0.0), (4488, 187942, gas_station, 0.4909544858974724), Length: 2.2305124263521208, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4126 ms|Time for KNN: 296234613 ms|Heap fetches: 1021|Max heap size: 846
