Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
130870 [5, 6, 5, 1, 6] [2, 1]|Found route: [POIs: (4463, 128702, gas_station, 1.3694374556569615), (4463, 128702, gas_station, 0.0), (3583, 128679, pub_bar, 0.06356492346540593), (3583, 128679, pub_bar, 0.0), (307, 128730, coffee_shop, 0.09442407091075769), Length: 1.5274264500331252, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 177 ms|Time for KNN: 128 ms|Heap fetches: 36|Max heap size: 31
39960 [2, 4, 2, 6, 4] [4, 1]|Found route: [POIs: (4400, 50482, gas_station, 8.46308970915245), (3334, 50373, pharmacy, 0.4366814577751886), (2587, 50267, atm_bank, 0.6762625765460843), (2587, 50267, atm_bank, 0.0), (3334, 50373, pharmacy, 0.6762625765460845), Length: 10.25229632001981, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 122 ms|Time for KNN: 85 ms|Heap fetches: 41|Max heap size: 34
3723 [2, 6, 2, 5, 6] [2, 1]|Found route: [POIs: (4513, 41058, gas_station, 2.6038220238061345), (4513, 41058, gas_station, 0.0), (2137, 52114, atm_bank, 8.730121073514415), (2137, 52114, atm_bank, 0.0), (3603, 55453, pub_bar, 0.6358079065668081), Length: 11.969751003887357, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 434 ms|Time for KNN: 347 ms|Heap fetches: 103|Max heap size: 62
410750 [1, 0, 4, 2, 3] [4, 0]|Found route: [POIs: (350, 241689, coffee_shop, 6.258882559021031), (350, 241689, restaurant, 0.0), (3220, 241713, pharmacy, 0.10429282133648897), (2295, 241941, atm_bank, 0.046604954913280025), (2721, 241637, movie_theater, 0.22436114277518274), Length: 6.634141478045983, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 534 ms|Time for KNN: 344 ms|Heap fetches: 183|Max heap size: 123
290596 [6, 0, 1, 0, 3] [1, 2]|Found route: [POIs: (4491, 290756, gas_station, 0.3032258863535976), (1614, 293855, restaurant, 1.7528999167373303), (1909, 299711, coffee_shop, 1.2516665050512148), (1909, 299711, restaurant, 0.0), (2787, 299711, movie_theater, 0.0), Length: 3.3077923081421425, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5515 ms|Time for KNN: 2680 ms|Heap fetches: 3052|Max heap size: 1487
234081 [5, 1, 5, 2, 0] [3, 4]|Found route: [POIs: (3749, 234034, pub_bar, 0.10094402322340945), (3749, 234034, pub_bar, 0.0), (583, 233766, coffee_shop, 0.4179380232365126), (2212, 233691, atm_bank, 0.242359794946436), (804, 233008, restaurant, 0.053879461883220736), Length: 0.8151213032895788, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 160 ms|Time for KNN: 24 ms|Heap fetches: 140|Max heap size: 127
217215 [4, 4, 4, 2, 6] [3, 1]|Found route: [POIs: (3150, 218096, pharmacy, 1.4358435376369054), (3150, 218096, pharmacy, 0.0), (3150, 218096, pharmacy, 0.0), (2420, 218282, atm_bank, 0.06854504343583331), (4514, 216872, gas_station, 2.04417645331122), Length: 3.5485650343839588, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 422 ms|Time for KNN: 189 ms|Heap fetches: 334|Max heap size: 45
76362 [3, 2, 5, 4, 4] [3, 2]|Found route: [POIs: (2408, 79763, atm_bank, 0.4068302234419438), (2731, 119050, movie_theater, 0.5262378390675143), (4184, 119050, pub_bar, 0.0), (3307, 118988, pharmacy, 0.2683037827323315), (3307, 118988, pharmacy, 0.0), Length: 1.2013718452417896, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 125 ms|Time for KNN: 35 ms|Heap fetches: 76|Max heap size: 58
369515 [1, 0, 2, 2, 0] [3, 2]|Found route: [POIs: (228, 369962, restaurant, 0.3987763068195844), (228, 369962, restaurant, 0.0), (2306, 369671, atm_bank, 0.3453897112371558), (2306, 369671, atm_bank, 0.0), (2058, 369272, coffee_shop, 0.8903332079837893), Length: 1.6344992260405296, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 110 ms|Time for KNN: 69 ms|Heap fetches: 39|Max heap size: 29
3385 [6, 2, 0, 6, 2] [0, 1]|Found route: [POIs: (4366, 8199, gas_station, 6.621778935115188), (2366, 7553, atm_bank, 0.5628978224773371), (2366, 7553, atm_bank, 0.0), (95, 8190, restaurant, 0.5191696796924451), (4366, 8199, gas_station, 0.0534596942530626), Length: 7.757306131538033, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 95 ms|Time for KNN: 80 ms|Heap fetches: 17|Max heap size: 10
268622 [0, 6, 3, 3, 6] [0, 2]|Found route: [POIs: (422, 273304, restaurant, 2.4404599332690506), (2747, 275432, movie_theater, 2.2022637999798618), (2747, 275432, movie_theater, 0.0), (4539, 276224, gas_station, 0.9120425327118757), (4539, 276224, gas_station, 0.0), Length: 5.554766265960788, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1600 ms|Time for KNN: 1398 ms|Heap fetches: 189|Max heap size: 143
