Query|Pne route|Found route|Time|Time for PNE|Heap fetches
145065 [0, 0, 0, 0, 0] 5 [1, 4]|PNE route: [POIs: (1946, 145433, restaurant, 0.3017048129523568), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), Length: 0.3017048129523568, Heuristic: 0.0]|Found route 2: [POIs: (1946, 145433, restaurant, 0.3017048129523568), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), (1946, 145433, restaurant, 0.0), Length: 0.3017048129523568, Heuristic: 0.0]|Time: 225 ms|Time for PNE: 2 ms|Heap fetches: 0
239908 [0, 0, 0, 1, 0] 5 [1, 4]|PNE route: [POIs: (829, 241564, restaurant, 1.1864310767628787), (829, 241564, restaurant, 0.0), (829, 241564, restaurant, 0.0), (829, 241564, coffee_shop, 0.0), (829, 241564, restaurant, 0.0), Length: 1.1864310767628787, Heuristic: 0.0]|Found route 2: [POIs: (829, 241564, restaurant, 1.1864310767628787), (829, 241564, restaurant, 0.0), (829, 241564, restaurant, 0.0), (829, 241564, coffee_shop, 0.0), (829, 241564, restaurant, 0.0), Length: 1.1864310767628787, Heuristic: 0.0]|Time: 1730 ms|Time for PNE: 1 ms|Heap fetches: 0
334097 [0, 0, 0, 2, 0] 5 [1, 4]|PNE route: [POIs: (1834, 334362, restaurant, 0.6586966042487299), (1834, 334362, restaurant, 0.0), (1834, 334362, restaurant, 0.0), (2482, 345094, atm_bank, 0.09086278662249024), (1834, 334362, restaurant, 0.09086278662249023), Length: 0.8404221774937104, Heuristic: 0.0]|Found route 2: [POIs: (1834, 334362, restaurant, 0.6586966042487299), (1834, 334362, restaurant, 0.0), (1834, 334362, restaurant, 0.0), (2482, 345094, atm_bank, 0.09086278662249024), (1834, 334362, restaurant, 0.09086278662249023), Length: 0.8404221774937104, Heuristic: 0.0]|Time: 135 ms|Time for PNE: 1 ms|Heap fetches: 0
152178 [0, 0, 0, 3, 0] 5 [1, 4]|PNE route: [POIs: (1790, 150679, restaurant, 0.8576449576919316), (1790, 150679, restaurant, 0.0), (1790, 150679, restaurant, 0.0), (2808, 150853, movie_theater, 0.21670547906194276), (1790, 150679, restaurant, 0.21670547906194276), Length: 1.291055915815817, Heuristic: 0.0]|Found route 2: [POIs: (1790, 150679, restaurant, 0.8576449576919316), (1790, 150679, restaurant, 0.0), (1790, 150679, restaurant, 0.0), (2808, 150853, movie_theater, 0.21670547906194276), (1790, 150679, restaurant, 0.21670547906194276), Length: 1.291055915815817, Heuristic: 0.0]|Time: 2385 ms|Time for PNE: 172 ms|Heap fetches: 0
22941 [0, 0, 0, 4, 0] 5 [1, 4]|PNE route: [POIs: (1141, 25632, restaurant, 1.9696871707872885), (1141, 25632, restaurant, 0.0), (1141, 25632, restaurant, 0.0), (2914, 25662, pharmacy, 0.08504971045370792), (1141, 25632, restaurant, 0.08504971045370792), Length: 2.1397865916947043, Heuristic: 0.0]|Found route 2: [POIs: (1141, 25632, restaurant, 1.9696871707872885), (1141, 25632, restaurant, 0.0), (1141, 25632, restaurant, 0.0), (2914, 25662, pharmacy, 0.08504971045370792), (1141, 25632, restaurant, 0.08504971045370792), Length: 2.1397865916947043, Heuristic: 0.0]|Time: 259 ms|Time for PNE: 2 ms|Heap fetches: 0
319502 [0, 0, 0, 5, 0] 5 [1, 4]|PNE route: [POIs: (479, 322429, restaurant, 0.5191505223334073), (479, 322429, restaurant, 0.0), (479, 322429, restaurant, 0.0), (3875, 322361, pub_bar, 0.10167856691522505), (479, 322429, restaurant, 0.10167856691522503), Length: 0.7225076561638574, Heuristic: 0.0]|Found route 2: [POIs: (479, 322429, restaurant, 0.5191505223334073), (479, 322429, restaurant, 0.0), (479, 322429, restaurant, 0.0), (3875, 322361, pub_bar, 0.10167856691522505), (479, 322429, restaurant, 0.10167856691522503), Length: 0.7225076561638574, Heuristic: 0.0]|Time: 144 ms|Time for PNE: 1 ms|Heap fetches: 0
395263 [0, 0, 0, 6, 0] 5 [1, 4]|PNE route: [POIs: (224, 393745, restaurant, 1.4988819222589642), (224, 393745, restaurant, 0.0), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), Length: 1.7214482899774275, Heuristic: 0.0]|Found route 2: [POIs: (224, 393745, restaurant, 1.4988819222589642), (224, 393745, restaurant, 0.0), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), Length: 1.7214482899774275, Heuristic: 0.0]|Time: 174 ms|Time for PNE: 1 ms|Heap fetches: 0
353183 [0, 0, 1, 0, 0] 5 [1, 4]|PNE route: [POIs: (795, 311355, restaurant, 2.1356143348542265), (795, 311355, restaurant, 0.0), (795, 311355, coffee_shop, 0.0), (795, 311355, restaurant, 0.0), (795, 311355, restaurant, 0.0), Length: 2.1356143348542265, Heuristic: 0.0]|Found route 2: [POIs: (795, 311355, restaurant, 2.1356143348542265), (795, 311355, restaurant, 0.0), (795, 311355, coffee_shop, 0.0), (795, 311355, restaurant, 0.0), (795, 311355, restaurant, 0.0), Length: 2.1356143348542265, Heuristic: 0.0]|Time: 203 ms|Time for PNE: 1 ms|Heap fetches: 0
279804 [0, 0, 1, 1, 0] 5 [1, 4]|PNE route: [POIs: (1386, 283779, restaurant, 2.9741780487837213), (1386, 283779, restaurant, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, restaurant, 0.0), Length: 2.9741780487837213, Heuristic: 0.0]|Found route 2: [POIs: (1386, 283779, restaurant, 2.9741780487837213), (1386, 283779, restaurant, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, coffee_shop, 0.0), (1386, 283779, restaurant, 0.0), Length: 2.9741780487837213, Heuristic: 0.0]|Time: 188 ms|Time for PNE: 1 ms|Heap fetches: 0
62999 [0, 0, 1, 2, 0] 5 [1, 4]|PNE route: [POIs: (1594, 61694, restaurant, 3.5996826476039296), (1594, 61694, restaurant, 0.0), (817, 61715, coffee_shop, 0.14929237438721174), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, restaurant, 0.10362195203610347), Length: 3.9562189260633485, Heuristic: 0.0]|Found route 2: [POIs: (817, 61715, restaurant, 3.7489750219911415), (817, 61715, restaurant, 0.0), (817, 61715, coffee_shop, 0.0), (2461, 61688, atm_bank, 0.10362195203610347), (817, 61715, restaurant, 0.10362195203610347), Length: 3.9562189260633485, Heuristic: 0.0]|Time: 3245 ms|Time for PNE: 0 ms|Heap fetches: 17
