Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
407037 [5, 3, 5, 4, 3] 5 [1, 4]|Found route: [POIs: (3898, 392400, pub_bar, 6.746122683231333), (2770, 392427, movie_theater, 0.027831389916167598), (3898, 392400, pub_bar, 0.027831389916167598), (3235, 392411, pharmacy, 0.3490569303301982), (2728, 392427, movie_theater, 0.32122554041403056), Length: 7.472067933807897, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1774 ms|Time for KNN: 1772 ms|Heap fetches: 247|Max heap size: 86
424672 [5, 3, 5, 2, 3] 5 [1, 4]|Found route: [POIs: (3637, 388877, pub_bar, 2.7606744896669113), (2707, 388877, movie_theater, 0.0), (3637, 388877, pub_bar, 0.0), (2231, 388700, atm_bank, 0.0900486704473247), (2755, 390195, movie_theater, 0.52931193936364), Length: 3.380035099477876, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 171 ms|Time for KNN: 170 ms|Heap fetches: 39|Max heap size: 15
380697 [6, 3, 5, 6, 1] 5 [0, 3]|Found route: [POIs: (4406, 371065, gas_station, 2.049381293726209), (2699, 370865, movie_theater, 0.6353681811021776), (3796, 369054, pub_bar, 2.0642166923405485), (4398, 368905, gas_station, 0.7205185735818017), (622, 373686, coffee_shop, 0.8155181716808323), Length: 6.285002912431569, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1063 ms|Time for KNN: 1063 ms|Heap fetches: 127|Max heap size: 44
327082 [5, 4, 4, 5, 0] 5 [0, 3]|Found route: [POIs: (4019, 187311, pub_bar, 0.7676343590702149), (2931, 187302, pharmacy, 0.049452954482760325), (2931, 187302, pharmacy, 0.0), (3563, 187370, pub_bar, 0.4080306201355356), (97, 187370, restaurant, 0.0), Length: 1.225117933688511, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 37 ms|Time for KNN: 36 ms|Heap fetches: 30|Max heap size: 12
265142 [5, 3, 3, 5, 4] 5 [0, 3]|Found route: [POIs: (3816, 275431, pub_bar, 3.239173997444161), (2747, 275432, movie_theater, 0.08231787822020745), (2747, 275432, movie_theater, 0.0), (4215, 275289, pub_bar, 0.3900806314650446), (3228, 275384, pharmacy, 0.08035367352366926), Length: 3.7919261806530824, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 94 ms|Time for KNN: 94 ms|Heap fetches: 23|Max heap size: 15
338326 [1, 2, 0, 1, 3] 5 [0, 3]|Found route: [POIs: (629, 338149, coffee_shop, 0.3695413085013136), (2324, 337938, atm_bank, 0.631175721764599), (1106, 337756, restaurant, 0.2249505524154547), (86, 326435, coffee_shop, 0.1850123856756581), (2698, 326582, movie_theater, 0.24133898313348726), Length: 1.6520189514905128, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 962 ms|Time for KNN: 957 ms|Heap fetches: 1308|Max heap size: 242
264119 [5, 0, 5, 5, 2] 5 [0, 3]|Found route: [POIs: (3718, 266350, pub_bar, 0.8414571495318295), (647, 267044, restaurant, 0.4649557426721359), (3760, 308846, pub_bar, 0.8198657791286117), (3760, 308846, pub_bar, 0.0), (2251, 308820, atm_bank, 0.28387871368846584), Length: 2.410157385021043, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 46 ms|Time for KNN: 45 ms|Heap fetches: 34|Max heap size: 10
213185 [3, 1, 6, 3, 4] 5 [0, 3]|Found route: [POIs: (2681, 204019, movie_theater, 5.567760548462167), (145, 166258, coffee_shop, 6.631297383048649), (4524, 166237, gas_station, 0.3372013501367229), (2794, 166640, movie_theater, 0.24060291803385392), (3071, 166243, pharmacy, 0.28371068077594486), Length: 13.060572880457338, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5598 ms|Time for KNN: 5594 ms|Heap fetches: 358|Max heap size: 177
290491 [3, 2, 2, 2, 2] 5 [1, 4]|Found route: [POIs: (2722, 255396, movie_theater, 3.0582690951912763), (2372, 255320, atm_bank, 0.08473461699884297), (2372, 255320, atm_bank, 0.0), (2372, 255320, atm_bank, 0.0), (2373, 255429, atm_bank, 0.07715533364191539), Length: 3.2201590458320344, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 15 ms|Time for KNN: 14 ms|Heap fetches: 8|Max heap size: 4
211969 [5, 5, 4, 4, 5] 5 [1, 4]|Found route: [POIs: (3524, 203467, pub_bar, 3.1882796731429495), (3524, 203467, pub_bar, 0.0), (3304, 204958, pharmacy, 0.12628974654669853), (3304, 204958, pharmacy, 0.0), (3554, 203572, pub_bar, 0.15677693366761883), Length: 3.471346353357267, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 55 ms|Time for KNN: 54 ms|Heap fetches: 35|Max heap size: 14
362720 [5, 6, 4, 5, 4] 5 [0, 3]|Found route: [POIs: (3438, 355732, pub_bar, 2.715743750495315), (4430, 354980, gas_station, 1.185316184663385), (3106, 354254, pharmacy, 0.941424850370929), (4217, 278353, pub_bar, 0.5459517048597301), (3315, 278020, pharmacy, 0.3565705406101811), Length: 5.745007030999541, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 103 ms|Time for KNN: 102 ms|Heap fetches: 34|Max heap size: 20
12226 [6, 0, 5, 0, 0] 5 [1, 4]|Found route: [POIs: (4443, 12115, gas_station, 0.362867792784055), (1712, 12384, restaurant, 1.3562028828587696), (4093, 12641, pub_bar, 0.16300230938024188), (660, 12599, restaurant, 0.22721181526922515), (660, 12599, restaurant, 0.0), Length: 2.1092848002922917, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 48 ms|Time for KNN: 48 ms|Heap fetches: 35|Max heap size: 18
413099 [6, 6, 0, 6, 1] 5 [0, 3]|Found route: [POIs: (4471, 401455, gas_station, 2.8271829789875613), (4471, 401455, gas_station, 0.0), (278, 401204, restaurant, 0.7408626454692884), (4499, 399529, gas_station, 1.9138624515434992), (278, 401204, coffee_shop, 1.9138624515435003), Length: 7.395770527543849, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 366 ms|Time for KNN: 365 ms|Heap fetches: 116|Max heap size: 34
379609 [2, 2, 6, 2, 1] 5 [0, 3]|Found route: [POIs: (2362, 388301, atm_bank, 1.882970961985068), (2362, 388301, atm_bank, 0.0), (4475, 389368, gas_station, 0.9529056908283933), (2231, 388700, atm_bank, 0.9538863387585421), (900, 390195, coffee_shop, 0.52931193936364), Length: 4.319074930935644, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 792 ms|Time for KNN: 791 ms|Heap fetches: 241|Max heap size: 101
120990 [0, 5, 6, 6, 5] 5 [1, 4]|Found route: [POIs: (1385, 123897, restaurant, 0.3742709330934708), (4157, 126370, pub_bar, 0.7433185842988538), (4442, 126176, gas_station, 0.1773654305433131), (4442, 126176, gas_station, 0.0), (4158, 126372, pub_bar, 0.13077102634334203), Length: 1.4257259742789796, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 134 ms|Time for KNN: 134 ms|Heap fetches: 109|Max heap size: 55
225416 [4, 3, 0, 5, 3] 5 [1, 4]|Found route: [POIs: (3255, 225660, pharmacy, 0.44346226693225804), (2794, 166640, movie_theater, 0.9292307635866884), (489, 166615, restaurant, 0.41880628394551134), (3478, 166617, pub_bar, 0.023287110460305207), (2777, 166597, movie_theater, 0.04855426596881568), Length: 1.8633406908935786, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 258 ms|Time for KNN: 256 ms|Heap fetches: 193|Max heap size: 43
392395 [2, 4, 0, 4, 4] 5 [1, 4]|Found route: [POIs: (2126, 237038, atm_bank, 1.2638929309612863), (3137, 190148, pharmacy, 0.08557661881244104), (160, 190193, restaurant, 0.07617381056665258), (2852, 190228, pharmacy, 0.058687486336093005), (2852, 190228, pharmacy, 0.0), Length: 1.4843308466764729, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 31 ms|Time for KNN: 30 ms|Heap fetches: 37|Max heap size: 22
