Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
364272 [0, 1, 5, 4, 5] 5 [2, 4]|Found route: [POIs: (1744, 354989, restaurant, 2.2223780510543074), (1744, 354989, coffee_shop, 0.0), (3438, 355732, pub_bar, 0.2618233305749241), (3313, 354955, pharmacy, 0.5280993143644496), (4217, 278353, pub_bar, 1.5260722439197365), Length: 4.538372939913417, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1444 ms|Time for KNN: 1440 ms|Heap fetches: 523|Max heap size: 134
337659 [3, 0, 5, 0, 6] 5 [1, 3]|Found route: [POIs: (2702, 337770, movie_theater, 2.2150570708948263), (812, 344668, restaurant, 1.1346511176069591), (3482, 344737, pub_bar, 0.2027876006099259), (813, 344691, restaurant, 0.1330192853497365), (4446, 345625, gas_station, 0.6815669758487075), Length: 4.367082050310155, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 349246 ms|Time for KNN: 330017 ms|Heap fetches: 433625|Max heap size: 14089
195429 [4, 6, 5, 3, 5] 5 [2, 4]|Found route: [POIs: (3320, 92039, pharmacy, 3.14531570858429), (4466, 88997, gas_station, 1.4349372803662777), (3575, 57583, pub_bar, 1.45400436212846), (2797, 57488, movie_theater, 0.059905944472052), (3455, 57455, pub_bar, 0.06412075298050063), Length: 6.158284048531581, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2019 ms|Time for KNN: 2018 ms|Heap fetches: 321|Max heap size: 210
202036 [5, 1, 5, 0, 2] 5 [0, 2]|Found route: [POIs: (3408, 202009, pub_bar, 0.25269905341414195), (1320, 201814, coffee_shop, 0.07132831711837954), (3413, 201815, pub_bar, 0.10764724312360321), (1320, 201814, restaurant, 0.10764724312360321), (2547, 222202, atm_bank, 1.23937329498552), Length: 1.7786951517652478, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 526 ms|Time for KNN: 525 ms|Heap fetches: 328|Max heap size: 55
124074 [5, 3, 5, 4, 6] 5 [0, 2]|Found route: [POIs: (4225, 120175, pub_bar, 0.8536738992813734), (2696, 120425, movie_theater, 0.218178925805499), (3957, 119433, pub_bar, 0.1383325327967601), (2822, 119987, pharmacy, 0.4256448532538436), (4364, 119537, gas_station, 0.9003588571804858), Length: 2.536189068317962, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 874 ms|Time for KNN: 871 ms|Heap fetches: 573|Max heap size: 114
147068 [5, 4, 2, 5, 4] 5 [0, 3]|Found route: [POIs: (4139, 147275, pub_bar, 0.5126520441377017), (2969, 100227, pharmacy, 0.7510221830919565), (2539, 100315, atm_bank, 0.04450077152157482), (3956, 100189, pub_bar, 0.16826257442647227), (2969, 100227, pharmacy, 0.13369684936779094), Length: 1.610134422545496, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 184 ms|Time for KNN: 183 ms|Heap fetches: 162|Max heap size: 63
322761 [1, 5, 2, 5, 4] 5 [1, 3]|Found route: [POIs: (973, 325616, coffee_shop, 1.1396535330299842), (3860, 325673, pub_bar, 0.023614945170052536), (2448, 325674, atm_bank, 0.10555901509208931), (3859, 325674, pub_bar, 0.0), (3258, 325674, pharmacy, 0.0), Length: 1.268827493292126, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 151 ms|Time for KNN: 151 ms|Heap fetches: 194|Max heap size: 89
70268 [1, 0, 1, 2, 2] 5 [0, 2]|Found route: [POIs: (2059, 71816, coffee_shop, 0.550735085740272), (244, 20050, restaurant, 0.3699011040674224), (244, 20050, coffee_shop, 0.0), (2173, 20023, atm_bank, 0.2913393348402106), (2173, 20023, atm_bank, 0.0), Length: 1.211975524647905, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 74 ms|Time for KNN: 73 ms|Heap fetches: 102|Max heap size: 89
296087 [0, 6, 3, 0, 5] 5 [0, 3]|Found route: [POIs: (1854, 305562, restaurant, 0.23101544847627353), (4481, 310526, gas_station, 2.4272711131709563), (2695, 310697, movie_theater, 0.9185823850637843), (462, 310748, restaurant, 0.09673006292397915), (3521, 311175, pub_bar, 0.09354194801905286), Length: 3.7671409576540458, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 672 ms|Time for KNN: 671 ms|Heap fetches: 116|Max heap size: 92
310960 [0, 2, 5, 1, 5] 5 [2, 4]|Found route: [POIs: (913, 316159, restaurant, 1.8017589494852824), (2156, 316075, atm_bank, 0.020955538495216607), (3510, 316248, pub_bar, 0.07098078999486204), (1050, 356724, coffee_shop, 0.17845377832670592), (4171, 316151, pub_bar, 0.17578938310912495), Length: 2.247938439411192, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 241 ms|Time for KNN: 239 ms|Heap fetches: 176|Max heap size: 67
388755 [0, 5, 1, 2, 1] 5 [2, 4]|Found route: [POIs: (186, 379134, restaurant, 2.470206097941094), (3512, 378266, pub_bar, 0.5951481681021944), (182, 378056, coffee_shop, 0.19990947328893113), (2107, 377957, atm_bank, 0.03483959072346227), (2073, 377942, coffee_shop, 0.591773136481388), Length: 3.8918764665370698, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 673 ms|Time for KNN: 671 ms|Heap fetches: 185|Max heap size: 60
427449 [0, 1, 5, 0, 6] 5 [0, 3]|Found route: [POIs: (900, 390195, restaurant, 2.1361002557063506), (900, 390195, coffee_shop, 0.0), (3637, 388877, pub_bar, 0.5118373046124068), (628, 391326, restaurant, 0.4355831458065599), (4475, 389368, gas_station, 0.9086268139983241), Length: 3.9921475201236416, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 35 ms|Time for KNN: 34 ms|Heap fetches: 15|Max heap size: 7
197710 [0, 2, 6, 6, 0] 5 [0, 4]|Found route: [POIs: (1234, 195711, restaurant, 2.131114846971828), (2503, 195712, atm_bank, 0.02947818591621697), (4510, 197552, gas_station, 0.8363817809927181), (4510, 197552, gas_station, 0.0), (2041, 196738, restaurant, 0.807169433482121), Length: 3.8041442473628835, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 411 ms|Time for KNN: 410 ms|Heap fetches: 88|Max heap size: 25
20628 [5, 0, 5, 3, 2] 5 [0, 2]|Found route: [POIs: (3723, 32604, pub_bar, 3.273098567696674), (619, 252719, restaurant, 2.6115619419409684), (3922, 252718, pub_bar, 0.0131404080876259), (2722, 255396, movie_theater, 1.5289207868339934), (2372, 255320, atm_bank, 0.08473461699884297), Length: 7.511456321558106, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 7775 ms|Time for KNN: 7767 ms|Heap fetches: 929|Max heap size: 797
418510 [1, 2, 3, 1, 4] 5 [0, 3]|Found route: [POIs: (1546, 422057, coffee_shop, 3.7977868254748475), (2557, 424130, atm_bank, 1.1456849253347323), (2806, 424193, movie_theater, 0.05353988500386193), (1817, 423150, coffee_shop, 0.47735613852886855), (3370, 423150, pharmacy, 0.0), Length: 5.474367774342311, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 540 ms|Time for KNN: 539 ms|Heap fetches: 97|Max heap size: 48
76163 [5, 0, 2, 5, 3] 5 [0, 3]|Found route: [POIs: (4356, 114092, pub_bar, 1.4112056264000983), (2063, 113939, restaurant, 0.49143062319317754), (2189, 114350, atm_bank, 0.08262007259973461), (3846, 113977, pub_bar, 0.15340926560655035), (2774, 113988, movie_theater, 0.07168504444477791), Length: 2.2103506322443387, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 324 ms|Time for KNN: 322 ms|Heap fetches: 394|Max heap size: 219
72538 [0, 4, 0, 5, 4] 5 [0, 2]|Found route: [POIs: (163, 74568, restaurant, 0.40525339796652937), (3166, 71882, pharmacy, 1.1575503396125957), (1317, 72934, restaurant, 0.2237122247365198), (3998, 73041, pub_bar, 0.1924164468176654), (3002, 73041, pharmacy, 0.0), Length: 1.9789324091333103, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 244 ms|Time for KNN: 243 ms|Heap fetches: 219|Max heap size: 211
37181 [1, 4, 2, 1, 1] 5 [0, 3]|Found route: [POIs: (617, 252644, coffee_shop, 1.3958002204067022), (3138, 255178, pharmacy, 1.4380118244033813), (2568, 255185, atm_bank, 0.04379508211673694), (820, 255639, coffee_shop, 0.9426182027593694), (820, 255639, coffee_shop, 0.0), Length: 3.8202253296861897, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 146 ms|Time for KNN: 146 ms|Heap fetches: 82|Max heap size: 66
84349 [3, 6, 5, 2, 5] 5 [2, 4]|Found route: [POIs: (2682, 95231, movie_theater, 3.744814733639472), (4371, 96845, gas_station, 0.930373984053109), (4013, 97639, pub_bar, 0.44376399608066375), (2406, 96678, atm_bank, 0.34738181557505665), (4235, 96678, pub_bar, 0.0), Length: 5.466334529348302, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 337 ms|Time for KNN: 337 ms|Heap fetches: 54|Max heap size: 18
383062 [5, 0, 6, 6, 5] 5 [0, 4]|Found route: [POIs: (3950, 382508, pub_bar, 0.4272445811980481), (1221, 382445, restaurant, 0.017310297132330198), (4407, 381123, gas_station, 1.0337211807080637), (4407, 381123, gas_station, 0.0), (3544, 381602, pub_bar, 0.671564181688323), Length: 2.149840240726765, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 216 ms|Time for KNN: 216 ms|Heap fetches: 111|Max heap size: 45
334377 [1, 0, 5, 4, 0] 5 [1, 4]|Found route: [POIs: (812, 344668, coffee_shop, 1.1776197520641467), (812, 344668, restaurant, 0.0), (3482, 344737, pub_bar, 0.2027876006099259), (3216, 344691, pharmacy, 0.1330192853497365), (813, 344691, restaurant, 0.0), Length: 1.513426638023809, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 22 ms|Time for KNN: 22 ms|Heap fetches: 18|Max heap size: 11
414544 [6, 0, 1, 6, 1] 5 [2, 4]|Found route: [POIs: (4471, 401455, gas_station, 2.9095133963804494), (278, 401204, restaurant, 0.7408626454692884), (278, 401204, coffee_shop, 0.0), (4506, 242566, gas_station, 3.8815352136944834), (350, 241689, coffee_shop, 0.4295287688316128), Length: 7.961440024375833, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 539 ms|Time for KNN: 538 ms|Heap fetches: 89|Max heap size: 26
78402 [3, 1, 2, 1, 4] 5 [1, 3]|Found route: [POIs: (2693, 99052, movie_theater, 1.7374249752493378), (779, 99091, coffee_shop, 0.1600039134775887), (2211, 99155, atm_bank, 0.062399383238415006), (777, 99154, coffee_shop, 0.08378205822524079), (3041, 99717, pharmacy, 0.29054413208986507), Length: 2.334154462280447, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 47 ms|Time for KNN: 47 ms|Heap fetches: 53|Max heap size: 11
291924 [5, 2, 2, 5, 1] 5 [0, 3]|Found route: [POIs: (3593, 292043, pub_bar, 0.2254253334165598), (2591, 293618, atm_bank, 1.3705597015612652), (2591, 293618, atm_bank, 0.0), (3519, 293501, pub_bar, 0.24470196338101222), (1459, 293501, coffee_shop, 0.0), Length: 1.840686998358837, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 139 ms|Time for KNN: 139 ms|Heap fetches: 95|Max heap size: 38
155878 [1, 3, 2, 1, 2] 5 [0, 3]|Found route: [POIs: (1793, 167605, coffee_shop, 1.529412866586863), (2768, 167605, movie_theater, 0.0), (2570, 167605, atm_bank, 0.0), (1424, 167761, coffee_shop, 0.01565868976101421), (2570, 167605, atm_bank, 0.01565868976101421), Length: 1.5607302461088914, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 43 ms|Time for KNN: 42 ms|Heap fetches: 19|Max heap size: 14
337320 [5, 1, 5, 2, 0] 5 [0, 2]|Found route: [POIs: (3867, 337349, pub_bar, 0.2962581579158136), (609, 337313, coffee_shop, 0.5242464039328335), (3766, 337591, pub_bar, 0.23138142184312285), (2259, 337729, atm_bank, 0.254990537111065), (599, 337732, restaurant, 0.013672664145303942), Length: 1.320549184948139, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 25 ms|Time for KNN: 24 ms|Heap fetches: 27|Max heap size: 22
