Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
288653 [4, 2, 2, 2, 0] 5 [1, 3]|Found route: [POIs: (2872, 289298, pharmacy, 0.6695707819705152), (2407, 289026, atm_bank, 1.9715564369338652), (2407, 289026, atm_bank, 0.0), (2130, 290109, atm_bank, 2.583868622356301), (221, 290088, restaurant, 0.10163300177799169), Length: 5.326628843038673, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 28 ms|Time for KNN: 27 ms|Heap fetches: 17|Max heap size: 6
359092 [4, 2, 6, 4, 2] 5 [0, 3]|Found route: [POIs: (3313, 354955, pharmacy, 2.1910501472781356), (2548, 354932, atm_bank, 0.3505177655271112), (4430, 354980, gas_station, 0.30669910477182444), (3314, 354873, pharmacy, 0.5459133675749773), (2629, 355012, atm_bank, 0.007847450718895076), Length: 3.402027835870943, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 102 ms|Time for KNN: 101 ms|Heap fetches: 65|Max heap size: 60
85236 [6, 2, 2, 1, 2] 5 [2, 4]|Found route: [POIs: (4536, 86625, gas_station, 1.974109423653567), (2385, 86690, atm_bank, 0.1710010195795084), (2385, 86690, atm_bank, 0.0), (775, 86668, coffee_shop, 0.06976053138337748), (2386, 95209, atm_bank, 0.6353423696197734), Length: 2.8502133442362263, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 35 ms|Time for KNN: 34 ms|Heap fetches: 25|Max heap size: 7
48783 [4, 2, 4, 2, 0] 5 [0, 2]|Found route: [POIs: (2911, 47611, pharmacy, 1.868455433764255), (2377, 48681, atm_bank, 1.864124893579107), (3170, 48694, pharmacy, 0.3037848485661989), (2377, 48681, atm_bank, 0.3037848485661989), (1512, 48698, restaurant, 0.14545593273204818), Length: 4.485605957207808, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 131 ms|Time for KNN: 131 ms|Heap fetches: 64|Max heap size: 36
44383 [2, 5, 2, 1, 2] 5 [0, 2]|Found route: [POIs: (2287, 56445, atm_bank, 5.973160365504202), (3591, 56445, pub_bar, 0.0), (2133, 56285, atm_bank, 0.07689201364020012), (525, 56286, coffee_shop, 0.03332745435505765), (2132, 56286, atm_bank, 0.0), Length: 6.0833798334994595, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 207 ms|Time for KNN: 206 ms|Heap fetches: 56|Max heap size: 32
331527 [2, 5, 2, 1, 0] 5 [0, 2]|Found route: [POIs: (2102, 331200, atm_bank, 0.6626898263677247), (3779, 331029, pub_bar, 0.2115618174408947), (2316, 331338, atm_bank, 0.16169097472773936), (102, 330875, coffee_shop, 0.4350786607209186), (102, 330875, restaurant, 0.0), Length: 1.4710212792572772, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 33 ms|Time for KNN: 32 ms|Heap fetches: 39|Max heap size: 29
234008 [6, 6, 2, 3, 2] 5 [2, 4]|Found route: [POIs: (4445, 237271, gas_station, 2.122536862737856), (4445, 237271, gas_station, 0.0), (2180, 237046, atm_bank, 0.5002938456781557), (2804, 237364, movie_theater, 0.3325727402301793), (2177, 237238, atm_bank, 0.3439190553090564), Length: 3.2993225039552474, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 176 ms|Time for KNN: 175 ms|Heap fetches: 80|Max heap size: 36
295995 [5, 4, 2, 3, 2] 5 [2, 4]|Found route: [POIs: (3630, 299732, pub_bar, 3.927311652467823), (3024, 299273, pharmacy, 0.13174873833111334), (2412, 299273, atm_bank, 0.0), (2733, 299338, movie_theater, 0.3480856586252881), (2457, 300082, atm_bank, 0.15170223608632807), Length: 4.558848285510552, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2061 ms|Time for KNN: 2052 ms|Heap fetches: 1120|Max heap size: 613
266070 [2, 0, 4, 0, 4] 5 [2, 4]|Found route: [POIs: (2399, 263232, atm_bank, 1.903642968481922), (740, 263232, restaurant, 0.0), (3204, 263316, pharmacy, 0.06730533172972379), (741, 259463, restaurant, 0.3622252849529895), (3371, 259575, pharmacy, 0.10885898399805521), Length: 2.4420325691626905, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 48 ms|Time for KNN: 48 ms|Heap fetches: 40|Max heap size: 18
75271 [4, 6, 5, 6, 4] 5 [0, 4]|Found route: [POIs: (3207, 78804, pharmacy, 1.2451695736379358), (4375, 80341, gas_station, 1.2815127400841135), (3888, 119609, pub_bar, 0.5196225390781668), (4364, 119537, gas_station, 0.35882187389670694), (2832, 121377, pharmacy, 0.14481407672954438), Length: 3.5499408034264675, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 630 ms|Time for KNN: 629 ms|Heap fetches: 168|Max heap size: 96
402836 [5, 6, 4, 0, 4] 5 [2, 4]|Found route: [POIs: (3715, 402518, pub_bar, 1.9215442612887372), (4538, 402564, gas_station, 0.22058139921763867), (3010, 349780, pharmacy, 1.8555184685556076), (472, 349808, restaurant, 0.04078923934366696), (3110, 347226, pharmacy, 0.47742428782636015), Length: 4.5158576562320105, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 404 ms|Time for KNN: 403 ms|Heap fetches: 123|Max heap size: 34
336198 [4, 6, 4, 0, 1] 5 [0, 2]|Found route: [POIs: (3358, 304205, pharmacy, 1.8208139511755665), (4379, 304074, gas_station, 0.8756239725799936), (3042, 319687, pharmacy, 0.40282285660079326), (1804, 319687, restaurant, 0.0), (1191, 319884, coffee_shop, 0.11128233828498889), Length: 3.2105431186413425, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 207 ms|Time for KNN: 207 ms|Heap fetches: 51|Max heap size: 40
180237 [4, 5, 0, 5, 4] 5 [0, 4]|Found route: [POIs: (2889, 173344, pharmacy, 1.4903910905119648), (4276, 182283, pub_bar, 0.19972270049934662), (57, 182282, restaurant, 0.09733577486087755), (3905, 182300, pub_bar, 0.02272942966499052), (3342, 182293, pharmacy, 0.030507537090144702), Length: 1.8406865326273243, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 97 ms|Time for KNN: 97 ms|Heap fetches: 89|Max heap size: 49
245328 [4, 2, 3, 2, 5] 5 [1, 3]|Found route: [POIs: (3097, 203686, pharmacy, 5.8548083617528714), (2320, 203686, atm_bank, 0.0), (2681, 204019, movie_theater, 0.4918654243834437), (2319, 203692, atm_bank, 0.48563124623870724), (3679, 203472, pub_bar, 0.2586045862896383), Length: 7.090909618664661, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2785 ms|Time for KNN: 2784 ms|Heap fetches: 423|Max heap size: 209
113313 [2, 1, 2, 3, 4] 5 [0, 2]|Found route: [POIs: (2234, 113295, atm_bank, 0.2947343730102584), (714, 112784, coffee_shop, 1.1671955583995894), (2139, 112661, atm_bank, 0.3840521635118531), (2736, 112380, movie_theater, 0.33892709959176004), (2905, 112729, pharmacy, 0.2920236988310354), Length: 2.4769328933444967, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 460 ms|Time for KNN: 457 ms|Heap fetches: 377|Max heap size: 157
12479 [4, 1, 3, 4, 6] 5 [0, 3]|Found route: [POIs: (3225, 13712, pharmacy, 0.6077740421576775), (1712, 12384, coffee_shop, 0.2724882023503754), (2775, 12609, movie_theater, 0.2658574708952805), (3280, 13697, pharmacy, 0.36749648728556056), (4477, 11271, gas_station, 1.6785048518351828), Length: 3.192121054524077, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 449 ms|Time for KNN: 448 ms|Heap fetches: 200|Max heap size: 31
314442 [0, 2, 2, 0, 2] 5 [2, 4]|Found route: [POIs: (1787, 314569, restaurant, 0.32179769252424995), (2623, 325101, atm_bank, 1.2843066568058947), (2623, 325101, atm_bank, 0.0), (992, 324994, restaurant, 0.20436776673432736), (2369, 324994, atm_bank, 0.0), Length: 1.810472116064472, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23 ms|Time for KNN: 22 ms|Heap fetches: 25|Max heap size: 22
416571 [6, 4, 1, 4, 6] 5 [1, 3]|Found route: [POIs: (4499, 399529, gas_station, 6.6781509291880266), (3355, 398517, pharmacy, 0.9483979999011342), (350, 241689, coffee_shop, 1.840741863903839), (3069, 241690, pharmacy, 0.06877566758669805), (4448, 241987, gas_station, 0.12483705211523347), Length: 9.660903512694931, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 278 ms|Time for KNN: 276 ms|Heap fetches: 67|Max heap size: 38
188099 [2, 2, 2, 5, 2] 5 [0, 2]|Found route: [POIs: (2567, 186505, atm_bank, 0.6166169162928125), (2272, 186504, atm_bank, 0.042932282216095324), (2272, 186504, atm_bank, 0.0), (3563, 187370, pub_bar, 0.07530041171190652), (2272, 186504, atm_bank, 0.07530041171190652), Length: 0.8101500219327208, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 80 ms|Time for KNN: 79 ms|Heap fetches: 111|Max heap size: 52
1053 [4, 5, 5, 4, 5] 5 [0, 3]|Found route: [POIs: (3270, 4174, pharmacy, 3.68064245828245), (3436, 10079, pub_bar, 4.29230862403751), (3436, 10079, pub_bar, 0.0), (2871, 10204, pharmacy, 0.3436624513950294), (3436, 10079, pub_bar, 0.34366245139502943), Length: 8.660275985110019, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 52 ms|Time for KNN: 51 ms|Heap fetches: 17|Max heap size: 10
171259 [0, 0, 4, 2, 4] 5 [2, 4]|Found route: [POIs: (117, 171259, restaurant, 0.0), (117, 171259, restaurant, 0.0), (2836, 172386, pharmacy, 1.1939964176471325), (2179, 172801, atm_bank, 0.1676048732151723), (3265, 172580, pharmacy, 0.07271541534751975), Length: 1.4343167062098245, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2210 ms|Time for KNN: 2194 ms|Heap fetches: 1729|Max heap size: 570
13887 [2, 4, 4, 4, 4] 5 [1, 3]|Found route: [POIs: (2227, 13551, atm_bank, 0.834043036342023), (3284, 13532, pharmacy, 0.07234540588785308), (3284, 13532, pharmacy, 0.0), (3280, 13697, pharmacy, 0.1514132678004701), (3280, 13697, pharmacy, 0.0), Length: 1.0578017100303463, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 14 ms|Time for KNN: 13 ms|Heap fetches: 20|Max heap size: 13
241099 [4, 2, 1, 2, 5] 5 [1, 3]|Found route: [POIs: (3088, 240638, pharmacy, 0.6674793617142996), (2640, 230692, atm_bank, 1.5350917902153043), (783, 230630, coffee_shop, 0.1603296777928867), (2358, 227463, atm_bank, 1.240773810134357), (3856, 227716, pub_bar, 0.41707692207705016), Length: 4.020751561933897, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 554 ms|Time for KNN: 552 ms|Heap fetches: 417|Max heap size: 122
413972 [5, 2, 4, 1, 2] 5 [1, 4]|Found route: [POIs: (3732, 242308, pub_bar, 8.309046565100212), (2295, 241941, atm_bank, 0.8396644985988818), (3220, 241713, pharmacy, 0.046604954913280025), (350, 241689, coffee_shop, 0.10429282133648896), (2500, 242905, atm_bank, 1.125748194248409), Length: 10.425357034197273, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 496 ms|Time for KNN: 495 ms|Heap fetches: 105|Max heap size: 21
357937 [3, 2, 6, 2, 5] 5 [1, 3]|Found route: [POIs: (2695, 310697, movie_theater, 3.9584201018992626), (2331, 309716, atm_bank, 0.8386073609189074), (4481, 310526, gas_station, 0.7461169781575918), (2422, 309727, atm_bank, 0.7660922928560202), (4090, 309643, pub_bar, 0.08196725041215873), Length: 6.391203984243941, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 978 ms|Time for KNN: 977 ms|Heap fetches: 155|Max heap size: 127
99636 [2, 1, 5, 6, 2] 5 [0, 4]|Found route: [POIs: (2182, 99888, atm_bank, 0.4695361938294337), (882, 99805, coffee_shop, 0.39893823960978403), (4328, 100198, pub_bar, 0.06253279016065982), (4468, 100177, gas_station, 0.3371882152798508), (2539, 100315, atm_bank, 0.14525115284009155), Length: 1.41344659171982, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 761 ms|Time for KNN: 755 ms|Heap fetches: 1050|Max heap size: 365
